REGION,EMISSION,YEAR,VALUE
RE1,CO2res,2040,999999.0
RE1,CO2res,2041,999999.0
RE1,CO2res,2042,999999.0
RE1,CO2res,2043,999999.0
RE1,CO2res,2044,999999.0
RE1,CO2res,2045,999999.0
RE1,CO2res,2046,999999.0
RE1,CO2res,2047,999999.0
RE1,CO2res,2048,999999.0
RE1,CO2res,2049,999999.0
RE1,CO2res,2050,999999.0
RE1,CO2tra,2019,999999.0
RE1,CO2tra,2020,999999.0
RE1,CO2tra,2021,999999.0
RE1,CO2tra,2022,999999.0
RE1,CO2tra,2023,999999.0
RE1,CO2tra,2024,999999.0
RE1,CO2tra,2025,999999.0
RE1,CO2tra,2026,999999.0
RE1,CO2tra,2027,999999.0
RE1,CO2tra,2028,999999.0
RE1,CO2tra,2029,999999.0
RE1,CO2tra,2030,999999.0
RE1,CO2tra,2031,999999.0
RE1,CO2tra,2032,999999.0
RE1,CO2tra,2033,999999.0
RE1,CO2tra,2034,999999.0
RE1,CO2tra,2035,999999.0
RE1,CO2tra,2036,999999.0
RE1,CO2tra,2037,999999.0
RE1,CO2tra,2038,999999.0
RE1,CO2tra,2039,999999.0
RE1,CO2tra,2040,999999.0
RE1,CO2tra,2041,999999.0
RE1,CO2tra,2042,999999.0
RE1,CO2tra,2043,999999.0
RE1,CO2tra,2044,999999.0
RE1,CO2tra,2045,999999.0
RE1,CO2tra,2046,999999.0
RE1,CO2tra,2047,999999.0
RE1,CO2tra,2048,999999.0
RE1,CO2tra,2049,999999.0
RE1,CO2tra,2050,999999.0
RE1,PM25,2019,999.0
RE1,PM25,2020,999.0
RE1,PM25,2021,999.0
RE1,PM25,2022,999.0
RE1,PM25,2023,999.0
RE1,PM25,2024,999.0
RE1,PM25,2025,999.0
RE1,PM25,2026,999.0
RE1,PM25,2027,999.0
RE1,PM25,2028,999.0
RE1,PM25,2029,999.0
RE1,PM25,2030,999.0
RE1,PM25,2031,999.0
RE1,PM25,2032,999.0
RE1,PM25,2033,999.0
RE1,PM25,2034,999.0
RE1,PM25,2035,999.0
RE1,PM25,2036,999.0
RE1,PM25,2037,999.0
RE1,PM25,2038,999.0
RE1,PM25,2039,999.0
RE1,PM25,2040,999.0
RE1,PM25,2041,999.0
RE1,PM25,2042,999.0
RE1,PM25,2043,999.0
RE1,PM25,2044,999.0
RE1,PM25,2045,999.0
RE1,PM25,2046,999.0
RE1,PM25,2047,999.0
RE1,PM25,2048,999.0
RE1,PM25,2049,999.0
RE1,PM25,2050,999.0
RE1,PM25rur,2019,999.0
RE1,PM25rur,2020,999.0
RE1,PM25rur,2021,999.0
RE1,PM25rur,2022,999.0
RE1,PM25rur,2023,999.0
RE1,PM25rur,2024,999.0
RE1,PM25rur,2025,999.0
RE1,PM25rur,2026,999.0
RE1,PM25rur,2027,999.0
RE1,PM25rur,2028,999.0
RE1,PM25rur,2029,999.0
RE1,PM25rur,2030,999.0
RE1,PM25rur,2031,999.0
RE1,PM25rur,2032,999.0
RE1,PM25rur,2033,999.0
RE1,PM25rur,2034,999.0
RE1,PM25rur,2035,999.0
RE1,PM25rur,2036,999.0
RE1,PM25rur,2037,999.0
RE1,PM25rur,2038,999.0
RE1,PM25rur,2039,999.0
RE1,PM25rur,2040,999.0
RE1,PM25rur,2041,999.0
RE1,PM25rur,2042,999.0
RE1,PM25rur,2043,999.0
RE1,PM25rur,2044,999.0
RE1,PM25rur,2045,999.0
RE1,PM25rur,2046,999.0
RE1,PM25rur,2047,999.0
RE1,PM25rur,2048,999.0
RE1,PM25rur,2049,999.0
RE1,PM25rur,2050,999.0
