REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
RE1,LNDGSD,CO2e,1,2019,465.3
RE1,LNDGSD,CO2e,1,2020,465.3
RE1,LNDGSD,CO2e,1,2021,465.3
RE1,LNDGSD,CO2e,1,2022,465.3
RE1,LNDGSD,CO2e,1,2023,465.3
RE1,LNDGSD,CO2e,1,2024,465.3
RE1,LNDGSD,CO2e,1,2025,465.3
RE1,LNDGSD,CO2e,1,2026,465.3
RE1,LNDGSD,CO2e,1,2027,465.3
RE1,LNDGSD,CO2e,1,2028,465.3
RE1,LNDGSD,CO2e,1,2029,465.3
RE1,LNDGSD,CO2e,1,2030,465.3
RE1,LNDGSD,CO2e,1,2031,465.3
RE1,LNDGSD,CO2e,1,2032,465.3
RE1,LNDGSD,CO2e,1,2033,465.3
RE1,LNDGSD,CO2e,1,2034,465.3
RE1,LNDGSD,CO2e,1,2035,465.3
RE1,LNDGSD,CO2e,1,2036,465.3
RE1,LNDGSD,CO2e,1,2037,465.3
RE1,LNDGSD,CO2e,1,2038,465.3
RE1,LNDGSD,CO2e,1,2039,465.3
RE1,LNDGSD,CO2e,1,2040,465.3
RE1,LNDGSD,CO2e,1,2041,465.3
RE1,LNDGSD,CO2e,1,2042,465.3
RE1,LNDGSD,CO2e,1,2043,465.3
RE1,LNDGSD,CO2e,1,2044,465.3
RE1,LNDGSD,CO2e,1,2045,465.3
RE1,LNDGSD,CO2e,1,2046,465.3
RE1,LNDGSD,CO2e,1,2047,465.3
RE1,LNDGSD,CO2e,1,2048,465.3
RE1,LNDGSD,CO2e,1,2049,465.3
RE1,LNDGSD,CO2e,1,2050,465.3
RE1,LNDSDB,CO2e,1,2019,513.3
RE1,LNDSDB,CO2e,1,2020,513.3
RE1,LNDSDB,CO2e,1,2021,513.3
RE1,LNDSDB,CO2e,1,2022,513.3
RE1,LNDSDB,CO2e,1,2023,513.3
RE1,LNDSDB,CO2e,1,2024,513.3
RE1,LNDSDB,CO2e,1,2025,513.3
RE1,LNDSDB,CO2e,1,2026,513.3
RE1,LNDSDB,CO2e,1,2027,513.3
RE1,LNDSDB,CO2e,1,2028,513.3
RE1,LNDSDB,CO2e,1,2029,513.3
RE1,LNDSDB,CO2e,1,2030,513.3
RE1,LNDSDB,CO2e,1,2031,513.3
RE1,LNDSDB,CO2e,1,2032,513.3
RE1,LNDSDB,CO2e,1,2033,513.3
RE1,LNDSDB,CO2e,1,2034,513.3
RE1,LNDSDB,CO2e,1,2035,513.3
RE1,LNDSDB,CO2e,1,2036,513.3
RE1,LNDSDB,CO2e,1,2037,513.3
RE1,LNDSDB,CO2e,1,2038,513.3
RE1,LNDSDB,CO2e,1,2039,513.3
RE1,LNDSDB,CO2e,1,2040,513.3
RE1,LNDSDB,CO2e,1,2041,513.3
RE1,LNDSDB,CO2e,1,2042,513.3
RE1,LNDSDB,CO2e,1,2043,513.3
RE1,LNDSDB,CO2e,1,2044,513.3
RE1,LNDSDB,CO2e,1,2045,513.3
RE1,LNDSDB,CO2e,1,2046,513.3
RE1,LNDSDB,CO2e,1,2047,513.3
RE1,LNDSDB,CO2e,1,2048,513.3
RE1,LNDSDB,CO2e,1,2049,513.3
RE1,LNDSDB,CO2e,1,2050,513.3
