REGION,TECHNOLOGY,VALUE
RE1,BACKSTOP,999999.0
RE1,CCOELC001,999999.0
RE1,EXPELC,999999.0
RE1,FTEAGRDSL,999999.0
RE1,FTEAGRGSL,999999.0
RE1,FTEAGRHFO,999999.0
RE1,FTECOMELC,999999.0
RE1,FTEINDCOA,999999.0
RE1,FTEINDDSL,999999.0
RE1,FTEINDELC,999999.0
RE1,FTEINDHFO,999999.0
RE1,FTEINDKER,999999.0
RE1,FTEINDLPG,999999.0
RE1,FTERESBGS,999999.0
RE1,FTERESBIO,999999.0
RE1,FTERESCHC,999999.0
RE1,FTERESELC,999999.0
RE1,FTERESETH,999999.0
RE1,FTERESKER,999999.0
RE1,FTERESLPG,999999.0
RE1,FTETRADSL,999999.0
RE1,FTETRAELC,999999.0
RE1,FTETRAGSL,999999.0
RE1,FTETRAHFO,999999.0
RE1,FTETRAJFL,999999.0
RE1,ICMCOA001,999999.0
RE1,ICMCOA005,999999.0
RE1,IFPELC001,999999.0
RE1,IMPBIO,999999.0
RE1,IMPCOA,999999.0
RE1,IMPDSL,999999.0
RE1,IMPELC001,999999.0
RE1,IMPELC002,999999.0
RE1,IMPGSL,999999.0
RE1,IMPHFOMOM,999999.0
RE1,IMPHFONAI,999999.0
RE1,IMPJFL,999999.0
RE1,IMPKER,999999.0
RE1,IMPLFOELD,999999.0
RE1,IMPLPG,999999.0
RE1,IMPNGS,999999.0
RE1,IMPURN,999999.0
RE1,IOIDSL001,999999.0
RE1,IOIELC001,999999.0
RE1,IOIHFO001,999999.0
RE1,IOIKER001,999999.0
RE1,IOILPG001,999999.0
RE1,MINBGS,999999.0
RE1,MINBIO,999999.0
RE1,MINGEO,999999.0
RE1,MINHYD,999999.0
RE1,MINSOL,999999.0
RE1,MINURN,999999.0
RE1,MINWND,999999.0
RE1,PWRBIO001,999999.0
RE1,PWRCOA001,999999.0
RE1,PWRDIST,999999.0
RE1,PWRGEO001,999999.0
RE1,PWRGEO002,999999.0
RE1,PWRGEO003,999999.0
RE1,PWRGEO004,999999.0
RE1,PWRGEO005,999999.0
RE1,PWRGEO006,999999.0
RE1,PWRGEO007,999999.0
RE1,PWRHFO001,999999.0
RE1,PWRHYD001,999999.0
RE1,PWRHYD002,999999.0
RE1,PWRHYD003,999999.0
RE1,PWRHYD004,999999.0
RE1,PWRHYD005,999999.0
RE1,PWRLFO001,999999.0
RE1,PWRNGS001,999999.0
RE1,PWRSOL001,999999.0
RE1,PWRTRN,999999.0
RE1,PWRURN001,999999.0
RE1,PWRWND001,999999.0
RE1,PWRWND002,999999.0
RE1,PWRWND003,999999.0
