TIMESLICE,YEAR,VALUE
S31,2030,0.0298
S31,2031,0.0298
S31,2032,0.0298
S31,2033,0.0298
S31,2034,0.0298
S31,2035,0.0298
S31,2036,0.0298
S31,2037,0.0298
S31,2038,0.0298
S31,2039,0.0298
S31,2040,0.0298
S31,2041,0.0298
S31,2042,0.0298
S31,2043,0.0298
S31,2044,0.0298
S31,2045,0.0298
S31,2046,0.0298
S31,2047,0.0298
S31,2048,0.0298
S31,2049,0.0298
S31,2050,0.0298
S32,2019,0.0149
S32,2020,0.0149
S32,2021,0.0149
S32,2022,0.0149
S32,2023,0.0149
S32,2024,0.0149
S32,2025,0.0149
S32,2026,0.0149
S32,2027,0.0149
S32,2028,0.0149
S32,2029,0.0149
S32,2030,0.0149
S32,2031,0.0149
S32,2032,0.0149
S32,2033,0.0149
S32,2034,0.0149
S32,2035,0.0149
S32,2036,0.0149
S32,2037,0.0149
S32,2038,0.0149
S32,2039,0.0149
S32,2040,0.0149
S32,2041,0.0149
S32,2042,0.0149
S32,2043,0.0149
S32,2044,0.0149
S32,2045,0.0149
S32,2046,0.0149
S32,2047,0.0149
S32,2048,0.0149
S32,2049,0.0149
S32,2050,0.0149
S33,2019,0.0298
S33,2020,0.0298
S33,2021,0.0298
S33,2022,0.0298
S33,2023,0.0298
S33,2024,0.0298
S33,2025,0.0298
S33,2026,0.0298
S33,2027,0.0298
S33,2028,0.0298
S33,2029,0.0298
S33,2030,0.0298
S33,2031,0.0298
S33,2032,0.0298
S33,2033,0.0298
S33,2034,0.0298
S33,2035,0.0298
S33,2036,0.0298
S33,2037,0.0298
S33,2038,0.0298
S33,2039,0.0298
S33,2040,0.0298
S33,2041,0.0298
S33,2042,0.0298
S33,2043,0.0298
S33,2044,0.0298
S33,2045,0.0298
S33,2046,0.0298
S33,2047,0.0298
S33,2048,0.0298
S33,2049,0.0298
S33,2050,0.0298
S34,2019,0.0199
S34,2020,0.0199
S34,2021,0.0199
S34,2022,0.0199
S34,2023,0.0199
S34,2024,0.0199
S34,2025,0.0199
S34,2026,0.0199
S34,2027,0.0199
S34,2028,0.0199
S34,2029,0.0199
S34,2030,0.0199
S34,2031,0.0199
S34,2032,0.0199
S34,2033,0.0199
S34,2034,0.0199
S34,2035,0.0199
S34,2036,0.0199
S34,2037,0.0199
S34,2038,0.0199
S34,2039,0.0199
S34,2040,0.0199
S34,2041,0.0199
S34,2042,0.0199
S34,2043,0.0199
S34,2044,0.0199
S34,2045,0.0199
S34,2046,0.0199
S34,2047,0.0199
S34,2048,0.0199
S34,2049,0.0199
S34,2050,0.0199
S35,2019,0.01
S35,2020,0.01
S35,2021,0.01
S35,2022,0.01
S35,2023,0.01
S35,2024,0.01
S35,2025,0.01
S35,2026,0.01
S35,2027,0.01
S35,2028,0.01
S35,2029,0.01
S35,2030,0.01
S35,2031,0.01
S35,2032,0.01
S35,2033,0.01
S35,2034,0.01
S35,2035,0.01
S35,2036,0.01
S35,2037,0.01
S35,2038,0.01
S35,2039,0.01
S35,2040,0.01
S35,2041,0.01
S35,2042,0.01
S35,2043,0.01
S35,2044,0.01
S35,2045,0.01
S35,2046,0.01
S35,2047,0.01
S35,2048,0.01
S35,2049,0.01
S35,2050,0.01
S36,2019,0.0149
S36,2020,0.0149
S36,2021,0.0149
S36,2022,0.0149
S36,2023,0.0149
S36,2024,0.0149
S36,2025,0.0149
S36,2026,0.0149
S36,2027,0.0149
S36,2028,0.0149
S36,2029,0.0149
S36,2030,0.0149
S36,2031,0.0149
S36,2032,0.0149
S36,2033,0.0149
S36,2034,0.0149
S36,2035,0.0149
S36,2036,0.0149
S36,2037,0.0149
S36,2038,0.0149
S36,2039,0.0149
S36,2040,0.0149
S36,2041,0.0149
S36,2042,0.0149
S36,2043,0.0149
S36,2044,0.0149
S36,2045,0.0149
S36,2046,0.0149
S36,2047,0.0149
S36,2048,0.0149
S36,2049,0.0149
S36,2050,0.0149
S41,2019,0.0119
S41,2020,0.0119
S41,2021,0.0119
S41,2022,0.0119
S41,2023,0.0119
S41,2024,0.0119
S41,2025,0.0119
S41,2026,0.0119
S41,2027,0.0119
S41,2028,0.0119
S41,2029,0.0119
S41,2030,0.0119
S41,2031,0.0119
S41,2032,0.0119
S41,2033,0.0119
S41,2034,0.0119
S41,2035,0.0119
S41,2036,0.0119
S41,2037,0.0119
S41,2038,0.0119
S41,2039,0.0119
S41,2040,0.0119
S41,2041,0.0119
S41,2042,0.0119
S41,2043,0.0119
S41,2044,0.0119
S41,2045,0.0119
S41,2046,0.0119
S41,2047,0.0119
S41,2048,0.0119
S41,2049,0.0119
S41,2050,0.0119
S42,2019,0.006
S42,2020,0.006
S42,2021,0.006
S42,2022,0.006
S42,2023,0.006
S42,2024,0.006
S42,2025,0.006
S42,2026,0.006
S42,2027,0.006
S42,2028,0.006
S42,2029,0.006
S42,2030,0.006
S42,2031,0.006
S42,2032,0.006
S42,2033,0.006
S42,2034,0.006
S42,2035,0.006
S42,2036,0.006
S42,2037,0.006
S42,2038,0.006
S42,2039,0.006
S42,2040,0.006
S42,2041,0.006
S42,2042,0.006
S42,2043,0.006
S42,2044,0.006
S42,2045,0.006
S42,2046,0.006
S42,2047,0.006
S42,2048,0.006
S42,2049,0.006
S42,2050,0.006
S43,2019,0.0119
S43,2020,0.0119
S43,2021,0.0119
S43,2022,0.0119
S43,2023,0.0119
S43,2024,0.0119
S43,2025,0.0119
S43,2026,0.0119
S43,2027,0.0119
S43,2028,0.0119
S43,2029,0.0119
S43,2030,0.0119
S43,2031,0.0119
S43,2032,0.0119
S43,2033,0.0119
S43,2034,0.0119
S43,2035,0.0119
S43,2036,0.0119
S43,2037,0.0119
S43,2038,0.0119
S43,2039,0.0119
S43,2040,0.0119
S43,2041,0.0119
S43,2042,0.0119
S43,2043,0.0119
S43,2044,0.0119
S43,2045,0.0119
S43,2046,0.0119
S43,2047,0.0119
S43,2048,0.0119
S43,2049,0.0119
S43,2050,0.0119
S44,2019,0.008
S44,2020,0.008
S44,2021,0.008
S44,2022,0.008
S44,2023,0.008
S44,2024,0.008
S44,2025,0.008
S44,2026,0.008
S44,2027,0.008
S44,2028,0.008
S44,2029,0.008
S44,2030,0.008
S44,2031,0.008
S44,2032,0.008
S44,2033,0.008
S44,2034,0.008
S44,2035,0.008
S44,2036,0.008
S44,2037,0.008
S44,2038,0.008
S44,2039,0.008
S44,2040,0.008
S44,2041,0.008
S44,2042,0.008
S44,2043,0.008
S44,2044,0.008
S44,2045,0.008
S44,2046,0.008
S44,2047,0.008
S44,2048,0.008
S44,2049,0.008
S44,2050,0.008
S45,2019,0.004
S45,2020,0.004
S45,2021,0.004
S45,2022,0.004
S45,2023,0.004
S45,2024,0.004
S45,2025,0.004
S45,2026,0.004
S45,2027,0.004
S45,2028,0.004
S45,2029,0.004
S45,2030,0.004
S45,2031,0.004
S45,2032,0.004
S45,2033,0.004
S45,2034,0.004
S45,2035,0.004
S45,2036,0.004
S45,2037,0.004
S45,2038,0.004
S45,2039,0.004
S45,2040,0.004
S45,2041,0.004
S45,2042,0.004
S45,2043,0.004
S45,2044,0.004
S45,2045,0.004
S45,2046,0.004
S45,2047,0.004
S45,2048,0.004
S45,2049,0.004
S45,2050,0.004
S46,2019,0.006
S46,2020,0.006
S46,2021,0.006
S46,2022,0.006
S46,2023,0.006
S46,2024,0.006
S46,2025,0.006
S46,2026,0.006
S46,2027,0.006
S46,2028,0.006
S46,2029,0.006
S46,2030,0.006
S46,2031,0.006
S46,2032,0.006
S46,2033,0.006
S46,2034,0.006
S46,2035,0.006
S46,2036,0.006
S46,2037,0.006
S46,2038,0.006
S46,2039,0.006
S46,2040,0.006
S46,2041,0.006
S46,2042,0.006
S46,2043,0.006
S46,2044,0.006
S46,2045,0.006
S46,2046,0.006
S46,2047,0.006
S46,2048,0.006
S46,2049,0.006
S46,2050,0.006
S51,2019,0.0597
S51,2020,0.0597
S51,2021,0.0597
S51,2022,0.0597
S51,2023,0.0597
S51,2024,0.0597
S51,2025,0.0597
S51,2026,0.0597
S51,2027,0.0597
S51,2028,0.0597
S51,2029,0.0597
S51,2030,0.0597
S51,2031,0.0597
S51,2032,0.0597
S51,2033,0.0597
S51,2034,0.0597
S51,2035,0.0597
S51,2036,0.0597
S51,2037,0.0597
S51,2038,0.0597
S51,2039,0.0597
S51,2040,0.0597
S51,2041,0.0597
S51,2042,0.0597
S51,2043,0.0597
S51,2044,0.0597
S51,2045,0.0597
S51,2046,0.0597
S51,2047,0.0597
S51,2048,0.0597
S51,2049,0.0597
S51,2050,0.0597
S52,2019,0.0298
S52,2020,0.0298
S52,2021,0.0298
S52,2022,0.0298
S52,2023,0.0298
S52,2024,0.0298
S52,2025,0.0298
S52,2026,0.0298
S52,2027,0.0298
S52,2028,0.0298
S52,2029,0.0298
S52,2030,0.0298
S52,2031,0.0298
S52,2032,0.0298
S52,2033,0.0298
S52,2034,0.0298
S52,2035,0.0298
S52,2036,0.0298
S52,2037,0.0298
S52,2038,0.0298
S52,2039,0.0298
S52,2040,0.0298
S52,2041,0.0298
S52,2042,0.0298
S52,2043,0.0298
S52,2044,0.0298
S52,2045,0.0298
S52,2046,0.0298
S52,2047,0.0298
S52,2048,0.0298
S52,2049,0.0298
S52,2050,0.0298
S53,2019,0.0597
S53,2020,0.0597
S53,2021,0.0597
S53,2022,0.0597
S53,2023,0.0597
S53,2024,0.0597
S53,2025,0.0597
S53,2026,0.0597
S53,2027,0.0597
S53,2028,0.0597
S53,2029,0.0597
S53,2030,0.0597
S53,2031,0.0597
S53,2032,0.0597
S53,2033,0.0597
S53,2034,0.0597
S53,2035,0.0597
S53,2036,0.0597
S53,2037,0.0597
S53,2038,0.0597
S53,2039,0.0597
S53,2040,0.0597
S53,2041,0.0597
S53,2042,0.0597
S53,2043,0.0597
S53,2044,0.0597
S53,2045,0.0597
S53,2046,0.0597
S53,2047,0.0597
S53,2048,0.0597
S53,2049,0.0597
S53,2050,0.0597
S54,2019,0.0398
S54,2020,0.0398
S54,2021,0.0398
S54,2022,0.0398
S54,2023,0.0398
S54,2024,0.0398
S54,2025,0.0398
S54,2026,0.0398
S54,2027,0.0398
S54,2028,0.0398
S54,2029,0.0398
S54,2030,0.0398
S54,2031,0.0398
S54,2032,0.0398
S54,2033,0.0398
S54,2034,0.0398
S54,2035,0.0398
S54,2036,0.0398
S54,2037,0.0398
S54,2038,0.0398
S54,2039,0.0398
S54,2040,0.0398
S54,2041,0.0398
S54,2042,0.0398
S54,2043,0.0398
S54,2044,0.0398
S54,2045,0.0398
S54,2046,0.0398
S54,2047,0.0398
S54,2048,0.0398
S54,2049,0.0398
S54,2050,0.0398
S55,2019,0.0199
S55,2020,0.0199
S55,2021,0.0199
S55,2022,0.0199
S55,2023,0.0199
S55,2024,0.0199
S55,2025,0.0199
S55,2026,0.0199
S55,2027,0.0199
S55,2028,0.0199
S55,2029,0.0199
S55,2030,0.0199
S55,2031,0.0199
S55,2032,0.0199
S55,2033,0.0199
S55,2034,0.0199
S55,2035,0.0199
S55,2036,0.0199
S55,2037,0.0199
S55,2038,0.0199
S55,2039,0.0199
S55,2040,0.0199
S55,2041,0.0199
S55,2042,0.0199
S55,2043,0.0199
S55,2044,0.0199
S55,2045,0.0199
S55,2046,0.0199
S55,2047,0.0199
S55,2048,0.0199
S55,2049,0.0199
S55,2050,0.0199
S56,2019,0.0298
S56,2020,0.0298
S56,2021,0.0298
S56,2022,0.0298
S56,2023,0.0298
S56,2024,0.0298
S56,2025,0.0298
S56,2026,0.0298
S56,2027,0.0298
S56,2028,0.0298
S56,2029,0.0298
S56,2030,0.0298
S56,2031,0.0298
S56,2032,0.0298
S56,2033,0.0298
S56,2034,0.0298
S56,2035,0.0298
S56,2036,0.0298
S56,2037,0.0298
S56,2038,0.0298
S56,2039,0.0298
S56,2040,0.0298
S56,2041,0.0298
S56,2042,0.0298
S56,2043,0.0298
S56,2044,0.0298
S56,2045,0.0298
S56,2046,0.0298
S56,2047,0.0298
S56,2048,0.0298
S56,2049,0.0298
S56,2050,0.0298
S61,2019,0.0239
S61,2020,0.0239
S61,2021,0.0239
S61,2022,0.0239
S61,2023,0.0239
S61,2024,0.0239
S61,2025,0.0239
S61,2026,0.0239
S61,2027,0.0239
S61,2028,0.0239
S61,2029,0.0239
S61,2030,0.0239
S61,2031,0.0239
S61,2032,0.0239
S61,2033,0.0239
S61,2034,0.0239
S61,2035,0.0239
S61,2036,0.0239
S61,2037,0.0239
S61,2038,0.0239
S61,2039,0.0239
S61,2040,0.0239
S61,2041,0.0239
S61,2042,0.0239
S61,2043,0.0239
S61,2044,0.0239
S61,2045,0.0239
S61,2046,0.0239
S61,2047,0.0239
S61,2048,0.0239
S61,2049,0.0239
S61,2050,0.0239
S62,2019,0.0119
S62,2020,0.0119
S62,2021,0.0119
S62,2022,0.0119
S62,2023,0.0119
S62,2024,0.0119
S62,2025,0.0119
S62,2026,0.0119
S62,2027,0.0119
S62,2028,0.0119
S62,2029,0.0119
S62,2030,0.0119
S62,2031,0.0119
S62,2032,0.0119
S62,2033,0.0119
S62,2034,0.0119
S62,2035,0.0119
S62,2036,0.0119
S62,2037,0.0119
S62,2038,0.0119
S62,2039,0.0119
S62,2040,0.0119
S62,2041,0.0119
S62,2042,0.0119
S62,2043,0.0119
S62,2044,0.0119
S62,2045,0.0119
S62,2046,0.0119
S62,2047,0.0119
S62,2048,0.0119
S62,2049,0.0119
S62,2050,0.0119
S63,2019,0.0239
S63,2020,0.0239
S63,2021,0.0239
S63,2022,0.0239
S63,2023,0.0239
S63,2024,0.0239
S63,2025,0.0239
S63,2026,0.0239
S63,2027,0.0239
S63,2028,0.0239
S63,2029,0.0239
S63,2030,0.0239
S63,2031,0.0239
S63,2032,0.0239
S63,2033,0.0239
S63,2034,0.0239
S63,2035,0.0239
S63,2036,0.0239
S63,2037,0.0239
S63,2038,0.0239
S63,2039,0.0239
S63,2040,0.0239
S63,2041,0.0239
S63,2042,0.0239
S63,2043,0.0239
S63,2044,0.0239
S63,2045,0.0239
S63,2046,0.0239
S63,2047,0.0239
S63,2048,0.0239
S63,2049,0.0239
S63,2050,0.0239
S64,2019,0.0159
S64,2020,0.0159
S64,2021,0.0159
S64,2022,0.0159
S64,2023,0.0159
S64,2024,0.0159
S64,2025,0.0159
S64,2026,0.0159
S64,2027,0.0159
S64,2028,0.0159
S64,2029,0.0159
S64,2030,0.0159
S64,2031,0.0159
S64,2032,0.0159
S64,2033,0.0159
S64,2034,0.0159
S64,2035,0.0159
S64,2036,0.0159
S64,2037,0.0159
S64,2038,0.0159
S64,2039,0.0159
S64,2040,0.0159
S64,2041,0.0159
S64,2042,0.0159
S64,2043,0.0159
S64,2044,0.0159
S64,2045,0.0159
S64,2046,0.0159
S64,2047,0.0159
S64,2048,0.0159
S64,2049,0.0159
S64,2050,0.0159
S65,2019,0.008
S65,2020,0.008
S65,2021,0.008
S65,2022,0.008
S65,2023,0.008
S65,2024,0.008
S65,2025,0.008
S65,2026,0.008
S65,2027,0.008
S65,2028,0.008
S65,2029,0.008
S65,2030,0.008
S65,2031,0.008
S65,2032,0.008
S65,2033,0.008
S65,2034,0.008
S65,2035,0.008
S65,2036,0.008
S65,2037,0.008
S65,2038,0.008
S65,2039,0.008
S65,2040,0.008
S65,2041,0.008
S65,2042,0.008
S65,2043,0.008
S65,2044,0.008
S65,2045,0.008
S65,2046,0.008
S65,2047,0.008
S65,2048,0.008
S65,2049,0.008
S65,2050,0.008
S66,2019,0.0119
S66,2020,0.0119
S66,2021,0.0119
S66,2022,0.0119
S66,2023,0.0119
S66,2024,0.0119
S66,2025,0.0119
S66,2026,0.0119
S66,2027,0.0119
S66,2028,0.0119
S66,2029,0.0119
S66,2030,0.0119
S66,2031,0.0119
S66,2032,0.0119
S66,2033,0.0119
S66,2034,0.0119
S66,2035,0.0119
S66,2036,0.0119
S66,2037,0.0119
S66,2038,0.0119
S66,2039,0.0119
S66,2040,0.0119
S66,2041,0.0119
S66,2042,0.0119
S66,2043,0.0119
S66,2044,0.0119
S66,2045,0.0119
S66,2046,0.0119
S66,2047,0.0119
S66,2048,0.0119
S66,2049,0.0119
S66,2050,0.0119
S71,2019,0.045
S71,2020,0.045
S71,2021,0.045
S71,2022,0.045
S71,2023,0.045
S71,2024,0.045
S71,2025,0.045
S71,2026,0.045
S71,2027,0.045
S71,2028,0.045
S71,2029,0.045
S71,2030,0.045
S71,2031,0.045
S71,2032,0.045
S71,2033,0.045
S71,2034,0.045
S71,2035,0.045
S71,2036,0.045
S71,2037,0.045
S71,2038,0.045
S71,2039,0.045
S71,2040,0.045
S71,2041,0.045
S71,2042,0.045
S71,2043,0.045
S71,2044,0.045
S71,2045,0.045
S71,2046,0.045
S71,2047,0.045
S71,2048,0.045
S71,2049,0.045
S71,2050,0.045
S72,2019,0.0225
S72,2020,0.0225
S72,2021,0.0225
S72,2022,0.0225
S72,2023,0.0225
S72,2024,0.0225
S72,2025,0.0225
S72,2026,0.0225
S72,2027,0.0225
S72,2028,0.0225
S72,2029,0.0225
S72,2030,0.0225
S72,2031,0.0225
S72,2032,0.0225
S72,2033,0.0225
S72,2034,0.0225
S72,2035,0.0225
S72,2036,0.0225
S72,2037,0.0225
S72,2038,0.0225
S72,2039,0.0225
S72,2040,0.0225
S72,2041,0.0225
S72,2042,0.0225
S72,2043,0.0225
S72,2044,0.0225
S72,2045,0.0225
S72,2046,0.0225
S72,2047,0.0225
S72,2048,0.0225
S72,2049,0.0225
S72,2050,0.0225
S73,2019,0.045
S73,2020,0.045
S73,2021,0.045
S73,2022,0.045
S73,2023,0.045
S73,2024,0.045
S73,2025,0.045
S73,2026,0.045
S73,2027,0.045
S73,2028,0.045
S73,2029,0.045
S73,2030,0.045
S73,2031,0.045
S73,2032,0.045
S73,2033,0.045
S73,2034,0.045
S73,2035,0.045
S73,2036,0.045
S73,2037,0.045
S73,2038,0.045
S73,2039,0.045
S73,2040,0.045
S73,2041,0.045
S73,2042,0.045
S73,2043,0.045
S73,2044,0.045
S73,2045,0.045
S73,2046,0.045
S73,2047,0.045
S73,2048,0.045
S73,2049,0.045
S73,2050,0.045
S74,2019,0.03
S74,2020,0.03
S74,2021,0.03
S74,2022,0.03
S74,2023,0.03
S74,2024,0.03
S74,2025,0.03
S74,2026,0.03
S74,2027,0.03
S74,2028,0.03
S74,2029,0.03
S74,2030,0.03
S74,2031,0.03
S74,2032,0.03
S74,2033,0.03
S74,2034,0.03
S74,2035,0.03
S74,2036,0.03
S74,2037,0.03
S74,2038,0.03
S74,2039,0.03
S74,2040,0.03
S74,2041,0.03
S74,2042,0.03
S74,2043,0.03
S74,2044,0.03
S74,2045,0.03
S74,2046,0.03
S74,2047,0.03
S74,2048,0.03
S74,2049,0.03
S74,2050,0.03
S75,2019,0.015
S75,2020,0.015
S75,2021,0.015
S75,2022,0.015
S75,2023,0.015
S75,2024,0.015
S75,2025,0.015
S75,2026,0.015
S75,2027,0.015
S75,2028,0.015
S75,2029,0.015
S75,2030,0.015
S75,2031,0.015
S75,2032,0.015
S75,2033,0.015
S75,2034,0.015
S75,2035,0.015
S75,2036,0.015
S75,2037,0.015
S75,2038,0.015
S75,2039,0.015
S75,2040,0.015
S75,2041,0.015
S75,2042,0.015
S75,2043,0.015
S75,2044,0.015
S75,2045,0.015
S75,2046,0.015
S75,2047,0.015
