TIMESLICE,YEAR,VALUE
S11,2019,0.044
S11,2020,0.044
S11,2021,0.044
S11,2022,0.044
S11,2023,0.044
S11,2024,0.044
S11,2025,0.044
S11,2026,0.044
S11,2027,0.044
S11,2028,0.044
S11,2029,0.044
S11,2030,0.044
S11,2031,0.044
S11,2032,0.044
S11,2033,0.044
S11,2034,0.044
S11,2035,0.044
S11,2036,0.044
S11,2037,0.044
S11,2038,0.044
S11,2039,0.044
S11,2040,0.044
S11,2041,0.044
S11,2042,0.044
S11,2043,0.044
S11,2044,0.044
S11,2045,0.044
S11,2046,0.044
S11,2047,0.044
S11,2048,0.044
S11,2049,0.044
S11,2050,0.044
S12,2019,0.022
S12,2020,0.022
S12,2021,0.022
S12,2022,0.022
S12,2023,0.022
S12,2024,0.022
S12,2025,0.022
S12,2026,0.022
S12,2027,0.022
S12,2028,0.022
S12,2029,0.022
S12,2030,0.022
S12,2031,0.022
S12,2032,0.022
S12,2033,0.022
S12,2034,0.022
S12,2035,0.022
S12,2036,0.022
S12,2037,0.022
S12,2038,0.022
S12,2039,0.022
S12,2040,0.022
S12,2041,0.022
S12,2042,0.022
S12,2043,0.022
S12,2044,0.022
S12,2045,0.022
S12,2046,0.022
S12,2047,0.022
S12,2048,0.022
S12,2049,0.022
S12,2050,0.022
S13,2019,0.044
S13,2020,0.044
S13,2021,0.044
S13,2022,0.044
S13,2023,0.044
S13,2024,0.044
S13,2025,0.044
S13,2026,0.044
S13,2027,0.044
S13,2028,0.044
S13,2029,0.044
S13,2030,0.044
S13,2031,0.044
S13,2032,0.044
S13,2033,0.044
S13,2034,0.044
S13,2035,0.044
S13,2036,0.044
S13,2037,0.044
S13,2038,0.044
S13,2039,0.044
S13,2040,0.044
S13,2041,0.044
S13,2042,0.044
S13,2043,0.044
S13,2044,0.044
S13,2045,0.044
S13,2046,0.044
S13,2047,0.044
S13,2048,0.044
S13,2049,0.044
S13,2050,0.044
S14,2019,0.0294
S14,2020,0.0294
S14,2021,0.0294
S14,2022,0.0294
S14,2023,0.0294
S14,2024,0.0294
S14,2025,0.0294
S14,2026,0.0294
S14,2027,0.0294
S14,2028,0.0294
S14,2029,0.0294
S14,2030,0.0294
S14,2031,0.0294
S14,2032,0.0294
S14,2033,0.0294
S14,2034,0.0294
S14,2035,0.0294
S14,2036,0.0294
S14,2037,0.0294
S14,2038,0.0294
S14,2039,0.0294
S14,2040,0.0294
S14,2041,0.0294
S14,2042,0.0294
S14,2043,0.0294
S14,2044,0.0294
S14,2045,0.0294
S14,2046,0.0294
S14,2047,0.0294
S14,2048,0.0294
S14,2049,0.0294
S14,2050,0.0294
S15,2019,0.0147
S15,2020,0.0147
S15,2021,0.0147
S15,2022,0.0147
S15,2023,0.0147
S15,2024,0.0147
S15,2025,0.0147
S15,2026,0.0147
S15,2027,0.0147
S15,2028,0.0147
S15,2029,0.0147
S15,2030,0.0147
S15,2031,0.0147
S15,2032,0.0147
S15,2033,0.0147
S15,2034,0.0147
S15,2035,0.0147
S15,2036,0.0147
S15,2037,0.0147
S15,2038,0.0147
S15,2039,0.0147
S15,2040,0.0147
S15,2041,0.0147
S15,2042,0.0147
S15,2043,0.0147
S15,2044,0.0147
S15,2045,0.0147
S15,2046,0.0147
S15,2047,0.0147
S15,2048,0.0147
S15,2049,0.0147
S15,2050,0.0147
S16,2019,0.022
S16,2020,0.022
S16,2021,0.022
S16,2022,0.022
S16,2023,0.022
S16,2024,0.022
S16,2025,0.022
S16,2026,0.022
S16,2027,0.022
S16,2028,0.022
S16,2029,0.022
S16,2030,0.022
S16,2031,0.022
S16,2032,0.022
S16,2033,0.022
S16,2034,0.022
S16,2035,0.022
S16,2036,0.022
S16,2037,0.022
S16,2038,0.022
S16,2039,0.022
S16,2040,0.022
S16,2041,0.022
S16,2042,0.022
S16,2043,0.022
S16,2044,0.022
S16,2045,0.022
S16,2046,0.022
S16,2047,0.022
S16,2048,0.022
S16,2049,0.022
S16,2050,0.022
S21,2019,0.0176
S21,2020,0.0176
S21,2021,0.0176
S21,2022,0.0176
S21,2023,0.0176
S21,2024,0.0176
S21,2025,0.0176
S21,2026,0.0176
S21,2027,0.0176
S21,2028,0.0176
S21,2029,0.0176
S21,2030,0.0176
S21,2031,0.0176
S21,2032,0.0176
S21,2033,0.0176
S21,2034,0.0176
S21,2035,0.0176
S21,2036,0.0176
S21,2037,0.0176
S21,2038,0.0176
S21,2039,0.0176
S21,2040,0.0176
S21,2041,0.0176
S21,2042,0.0176
S21,2043,0.0176
S21,2044,0.0176
S21,2045,0.0176
S21,2046,0.0176
S21,2047,0.0176
S21,2048,0.0176
S21,2049,0.0176
S21,2050,0.0176
S22,2019,0.0088
S22,2020,0.0088
S22,2021,0.0088
S22,2022,0.0088
S22,2023,0.0088
S22,2024,0.0088
S22,2025,0.0088
S22,2026,0.0088
S22,2027,0.0088
S22,2028,0.0088
S22,2029,0.0088
S22,2030,0.0088
S22,2031,0.0088
S22,2032,0.0088
S22,2033,0.0088
S22,2034,0.0088
S22,2035,0.0088
S22,2036,0.0088
S22,2037,0.0088
S22,2038,0.0088
S22,2039,0.0088
S22,2040,0.0088
S22,2041,0.0088
S22,2042,0.0088
S22,2043,0.0088
S22,2044,0.0088
S22,2045,0.0088
S22,2046,0.0088
S22,2047,0.0088
S22,2048,0.0088
S22,2049,0.0088
S22,2050,0.0088
S23,2019,0.0176
S23,2020,0.0176
S23,2021,0.0176
S23,2022,0.0176
S23,2023,0.0176
S23,2024,0.0176
S23,2025,0.0176
S23,2026,0.0176
S23,2027,0.0176
S23,2028,0.0176
S23,2029,0.0176
S23,2030,0.0176
S23,2031,0.0176
S23,2032,0.0176
S23,2033,0.0176
S23,2034,0.0176
S23,2035,0.0176
S23,2036,0.0176
S23,2037,0.0176
S23,2038,0.0176
S23,2039,0.0176
S23,2040,0.0176
S23,2041,0.0176
S23,2042,0.0176
S23,2043,0.0176
S23,2044,0.0176
S23,2045,0.0176
S23,2046,0.0176
S23,2047,0.0176
S23,2048,0.0176
S23,2049,0.0176
S23,2050,0.0176
S24,2019,0.0117
S24,2020,0.0117
S24,2021,0.0117
S24,2022,0.0117
S24,2023,0.0117
S24,2024,0.0117
S24,2025,0.0117
S24,2026,0.0117
S24,2027,0.0117
S24,2028,0.0117
S24,2029,0.0117
S24,2030,0.0117
S24,2031,0.0117
S24,2032,0.0117
S24,2033,0.0117
S24,2034,0.0117
S24,2035,0.0117
S24,2036,0.0117
S24,2037,0.0117
S24,2038,0.0117
S24,2039,0.0117
S24,2040,0.0117
S24,2041,0.0117
S24,2042,0.0117
S24,2043,0.0117
S24,2044,0.0117
S24,2045,0.0117
S24,2046,0.0117
S24,2047,0.0117
S24,2048,0.0117
S24,2049,0.0117
S24,2050,0.0117
S25,2019,0.0059
S25,2020,0.0059
S25,2021,0.0059
S25,2022,0.0059
S25,2023,0.0059
S25,2024,0.0059
S25,2025,0.0059
S25,2026,0.0059
S25,2027,0.0059
S25,2028,0.0059
S25,2029,0.0059
S25,2030,0.0059
S25,2031,0.0059
S25,2032,0.0059
S25,2033,0.0059
S25,2034,0.0059
S25,2035,0.0059
S25,2036,0.0059
S25,2037,0.0059
S25,2038,0.0059
S25,2039,0.0059
S25,2040,0.0059
S25,2041,0.0059
S25,2042,0.0059
S25,2043,0.0059
S25,2044,0.0059
S25,2045,0.0059
S25,2046,0.0059
S25,2047,0.0059
S25,2048,0.0059
S25,2049,0.0059
S25,2050,0.0059
S26,2019,0.0088
S26,2020,0.0088
S26,2021,0.0088
S26,2022,0.0088
S26,2023,0.0088
S26,2024,0.0088
S26,2025,0.0088
S26,2026,0.0088
S26,2027,0.0088
S26,2028,0.0088
S26,2029,0.0088
S26,2030,0.0088
S26,2031,0.0088
S26,2032,0.0088
S26,2033,0.0088
S26,2034,0.0088
S26,2035,0.0088
S26,2036,0.0088
S26,2037,0.0088
S26,2038,0.0088
S26,2039,0.0088
S26,2040,0.0088
S26,2041,0.0088
S26,2042,0.0088
S26,2043,0.0088
S26,2044,0.0088
S26,2045,0.0088
S26,2046,0.0088
S26,2047,0.0088
S26,2048,0.0088
S26,2049,0.0088
S26,2050,0.0088
S31,2019,0.0298
S31,2020,0.0298
S31,2021,0.0298
S31,2022,0.0298
S31,2023,0.0298
S31,2024,0.0298
S31,2025,0.0298
S31,2026,0.0298
S31,2027,0.0298
S31,2028,0.0298
S31,2029,0.0298
