REGION,TECHNOLOGY,VALUE
RE1,LNDSUCHI,1.0
RE1,SUCSUG,20.0
RE1,DEMAGRDSL,1.0
RE1,BRESID,1.0
RE1,BRESPJ,1.0
RE1,CKGICSrur,7.0
RE1,CKGICSurb,7.0
RE1,LNDSUCHR,1.0
RE1,LNDSUCLR,1.0
RE1,CKGICSchurb,7.0
RE1,CKGICSchrur,7.0
RE1,WODCHCimp,1.0
RE1,IMPPHB,1.0
RE1,LNDPHBHI,1.0
RE1,LNDPHBHR,1.0
RE1,LNDPHBLR,1.0
RE1,LNDPHB,1.0
RE1,LNDOTHCRP,1.0
RE1,WATIND,1.0
RE1,WATMUN,1.0
