REGION,EMISSION,YEAR,VALUE
RE1,CO2com,2046,0.0
RE1,CO2com,2047,0.0
RE1,CO2com,2048,0.0
RE1,CO2com,2049,0.0
RE1,CO2com,2050,0.0
RE1,CO2ind,2019,0.0
RE1,CO2ind,2020,0.0
RE1,CO2ind,2021,0.0
RE1,CO2ind,2022,0.0
RE1,CO2ind,2023,0.0
RE1,CO2ind,2024,0.0
RE1,CO2ind,2025,0.0
RE1,CO2ind,2026,0.0
RE1,CO2ind,2027,0.0
RE1,CO2ind,2028,0.0
RE1,CO2ind,2029,0.0
RE1,CO2ind,2030,0.0
RE1,CO2ind,2031,0.0
RE1,CO2ind,2032,0.0
RE1,CO2ind,2033,0.0
RE1,CO2ind,2034,0.0
RE1,CO2ind,2035,0.0
RE1,CO2ind,2036,0.0
RE1,CO2ind,2037,0.0
RE1,CO2ind,2038,0.0
RE1,CO2ind,2039,0.0
RE1,CO2ind,2040,0.0
RE1,CO2ind,2041,0.0
RE1,CO2ind,2042,0.0
RE1,CO2ind,2043,0.0
RE1,CO2ind,2044,0.0
RE1,CO2ind,2045,0.0
RE1,CO2ind,2046,0.0
RE1,CO2ind,2047,0.0
RE1,CO2ind,2048,0.0
RE1,CO2ind,2049,0.0
RE1,CO2ind,2050,0.0
RE1,CO2res,2019,0.0
RE1,CO2res,2020,0.0
RE1,CO2res,2021,0.0
RE1,CO2res,2022,0.0
RE1,CO2res,2023,0.0
RE1,CO2res,2024,0.0
RE1,CO2res,2025,0.0
RE1,CO2res,2026,0.0
RE1,CO2res,2027,0.0
RE1,CO2res,2028,0.0
RE1,CO2res,2029,0.0
RE1,CO2res,2030,0.0
RE1,CO2res,2031,0.0
RE1,CO2res,2032,0.0
RE1,CO2res,2033,0.0
RE1,CO2res,2034,0.0
RE1,CO2res,2035,0.0
RE1,CO2res,2036,0.0
RE1,CO2res,2037,0.0
RE1,CO2res,2038,0.0
RE1,CO2res,2039,0.0
RE1,CO2res,2040,0.0
RE1,CO2res,2041,0.0
RE1,CO2res,2042,0.0
RE1,CO2res,2043,0.0
RE1,CO2res,2044,0.0
RE1,CO2res,2045,0.0
RE1,CO2res,2046,0.0
RE1,CO2res,2047,0.0
RE1,CO2res,2048,0.0
RE1,CO2res,2049,0.0
RE1,CO2res,2050,0.0
RE1,CO2tra,2019,0.0
RE1,CO2tra,2020,0.0
RE1,CO2tra,2021,0.0
RE1,CO2tra,2022,0.0
RE1,CO2tra,2023,0.0
RE1,CO2tra,2024,0.0
RE1,CO2tra,2025,0.0
RE1,CO2tra,2026,0.0
RE1,CO2tra,2027,0.0
RE1,CO2tra,2028,0.0
RE1,CO2tra,2029,0.0
RE1,CO2tra,2030,0.0
RE1,CO2tra,2031,0.0
RE1,CO2tra,2032,0.0
RE1,CO2tra,2033,0.0
RE1,CO2tra,2034,0.0
RE1,CO2tra,2035,0.0
RE1,CO2tra,2036,0.0
RE1,CO2tra,2037,0.0
RE1,CO2tra,2038,0.0
RE1,CO2tra,2039,0.0
RE1,CO2tra,2040,0.0
RE1,CO2tra,2041,0.0
RE1,CO2tra,2042,0.0
RE1,CO2tra,2043,0.0
RE1,CO2tra,2044,0.0
RE1,CO2tra,2045,0.0
RE1,CO2tra,2046,0.0
RE1,CO2tra,2047,0.0
RE1,CO2tra,2048,0.0
RE1,CO2tra,2049,0.0
RE1,CO2tra,2050,0.0
RE1,PM25,2019,0.0
RE1,PM25,2020,6.0
RE1,PM25,2021,12.0
RE1,PM25,2022,18.0
RE1,PM25,2023,24.0
RE1,PM25,2024,30.0
RE1,PM25,2025,36.0
RE1,PM25,2026,42.0
RE1,PM25,2027,48.0
RE1,PM25,2028,54.0
RE1,PM25,2029,60.0
RE1,PM25,2030,66.0
RE1,PM25,2031,72.0
RE1,PM25,2032,78.0
RE1,PM25,2033,84.0
RE1,PM25,2034,90.0
RE1,PM25,2035,96.0
RE1,PM25,2036,102.0
RE1,PM25,2037,108.0
RE1,PM25,2038,114.0
RE1,PM25,2039,120.0
RE1,PM25,2040,126.0
RE1,PM25,2041,132.0
RE1,PM25,2042,138.0
RE1,PM25,2043,144.0
RE1,PM25,2044,150.0
RE1,PM25,2045,156.0
RE1,PM25,2046,162.0
RE1,PM25,2047,168.0
RE1,PM25,2048,174.0
RE1,PM25,2049,180.0
RE1,PM25,2050,192.0
RE1,PM25rur,2019,0.0
RE1,PM25rur,2020,5.0
RE1,PM25rur,2021,10.0
RE1,PM25rur,2022,15.0
RE1,PM25rur,2023,20.0
RE1,PM25rur,2024,25.0
RE1,PM25rur,2025,30.0
RE1,PM25rur,2026,35.0
RE1,PM25rur,2027,40.0
RE1,PM25rur,2028,45.0
RE1,PM25rur,2029,50.0
RE1,PM25rur,2030,55.0
RE1,PM25rur,2031,60.0
RE1,PM25rur,2032,65.0
RE1,PM25rur,2033,70.0
RE1,PM25rur,2034,75.0
RE1,PM25rur,2035,80.0
RE1,PM25rur,2036,85.0
RE1,PM25rur,2037,90.0
RE1,PM25rur,2038,95.0
RE1,PM25rur,2039,100.0
RE1,PM25rur,2040,105.0
RE1,PM25rur,2041,110.0
RE1,PM25rur,2042,115.0
RE1,PM25rur,2043,120.0
RE1,PM25rur,2044,125.0
RE1,PM25rur,2045,130.0
RE1,PM25rur,2046,135.0
RE1,PM25rur,2047,140.0
RE1,PM25rur,2048,145.0
RE1,PM25rur,2049,150.0
RE1,PM25rur,2050,160.0
