REGION,FUEL,YEAR,VALUE
RE1,AGRGSL,2049,0.0
RE1,AGRGSL,2050,0.0
RE1,AGRHFO,2019,0.0
RE1,AGRHFO,2020,0.0
RE1,AGRHFO,2021,0.0
RE1,AGRHFO,2022,0.0
RE1,AGRHFO,2023,0.0
RE1,AGRHFO,2024,0.0
RE1,AGRHFO,2025,0.0
RE1,AGRHFO,2026,0.0
RE1,AGRHFO,2027,0.0
RE1,AGRHFO,2028,0.0
RE1,AGRHFO,2029,0.0
RE1,AGRHFO,2030,0.0
RE1,AGRHFO,2031,0.0
RE1,AGRHFO,2032,0.0
RE1,AGRHFO,2033,0.0
RE1,AGRHFO,2034,0.0
RE1,AGRHFO,2035,0.0
RE1,AGRHFO,2036,0.0
RE1,AGRHFO,2037,0.0
RE1,AGRHFO,2038,0.0
RE1,AGRHFO,2039,0.0
RE1,AGRHFO,2040,0.0
RE1,AGRHFO,2041,0.0
RE1,AGRHFO,2042,0.0
RE1,AGRHFO,2043,0.0
RE1,AGRHFO,2044,0.0
RE1,AGRHFO,2045,0.0
RE1,AGRHFO,2046,0.0
RE1,AGRHFO,2047,0.0
RE1,AGRHFO,2048,0.0
RE1,AGRHFO,2049,0.0
RE1,AGRHFO,2050,0.0
RE1,BGS,2019,0.0
RE1,BGS,2020,0.0
RE1,BGS,2021,0.0
RE1,BGS,2022,0.0
RE1,BGS,2023,0.0
RE1,BGS,2024,0.0
RE1,BGS,2025,0.0
RE1,BGS,2026,0.0
RE1,BGS,2027,0.0
RE1,BGS,2028,0.0
RE1,BGS,2029,0.0
RE1,BGS,2030,0.0
RE1,BGS,2031,0.0
RE1,BGS,2032,0.0
RE1,BGS,2033,0.0
RE1,BGS,2034,0.0
RE1,BGS,2035,0.0
RE1,BGS,2036,0.0
RE1,BGS,2037,0.0
RE1,BGS,2038,0.0
RE1,BGS,2039,0.0
RE1,BGS,2040,0.0
RE1,BGS,2041,0.0
RE1,BGS,2042,0.0
RE1,BGS,2043,0.0
RE1,BGS,2044,0.0
RE1,BGS,2045,0.0
RE1,BGS,2046,0.0
RE1,BGS,2047,0.0
RE1,BGS,2048,0.0
RE1,BGS,2049,0.0
RE1,BGS,2050,0.0
RE1,BIO,2019,0.0
RE1,BIO,2020,0.0
RE1,BIO,2021,0.0
RE1,BIO,2022,0.0
RE1,BIO,2023,0.0
RE1,BIO,2024,0.0
RE1,BIO,2025,0.0
RE1,BIO,2026,0.0
RE1,BIO,2027,0.0
RE1,BIO,2028,0.0
RE1,BIO,2029,0.0
RE1,BIO,2030,0.0
RE1,BIO,2031,0.0
RE1,BIO,2032,0.0
RE1,BIO,2033,0.0
RE1,BIO,2034,0.0
RE1,BIO,2035,0.0
RE1,BIO,2036,0.0
RE1,BIO,2037,0.0
RE1,BIO,2038,0.0
RE1,BIO,2039,0.0
RE1,BIO,2040,0.0
RE1,BIO,2041,0.0
RE1,BIO,2042,0.0
RE1,BIO,2043,0.0
RE1,BIO,2044,0.0
RE1,BIO,2045,0.0
RE1,BIO,2046,0.0
RE1,BIO,2047,0.0
RE1,BIO,2048,0.0
RE1,BIO,2049,0.0
RE1,BIO,2050,0.0
RE1,CHC,2019,0.0
RE1,CHC,2020,0.0
RE1,CHC,2021,0.0
RE1,CHC,2022,0.0
RE1,CHC,2023,0.0
RE1,CHC,2024,0.0
RE1,CHC,2025,0.0
RE1,CHC,2026,0.0
RE1,CHC,2027,0.0
RE1,CHC,2028,0.0
RE1,CHC,2029,0.0
RE1,CHC,2030,0.0
RE1,CHC,2031,0.0
RE1,CHC,2032,0.0
RE1,CHC,2033,0.0
RE1,CHC,2034,0.0
RE1,CHC,2035,0.0
RE1,CHC,2036,0.0
RE1,CHC,2037,0.0
RE1,CHC,2038,0.0
RE1,CHC,2039,0.0
RE1,CHC,2040,0.0
RE1,CHC,2041,0.0
RE1,CHC,2042,0.0
RE1,CHC,2043,0.0
RE1,CHC,2044,0.0
RE1,CHC,2045,0.0
RE1,CHC,2046,0.0
RE1,CHC,2047,0.0
RE1,CHC,2048,0.0
RE1,CHC,2049,0.0
RE1,CHC,2050,0.0
RE1,COA,2019,0.0
RE1,COA,2020,0.0
RE1,COA,2021,0.0
RE1,COA,2022,0.0
RE1,COA,2023,0.0
RE1,COA,2024,0.0
RE1,COA,2025,0.0
RE1,COA,2026,0.0
RE1,COA,2027,0.0
RE1,COA,2028,0.0
RE1,COA,2029,0.0
RE1,COA,2030,0.0
RE1,COA,2031,0.0
RE1,COA,2032,0.0
RE1,COA,2033,0.0
RE1,COA,2034,0.0
RE1,COA,2035,0.0
RE1,COA,2036,0.0
RE1,COA,2037,0.0
RE1,COA,2038,0.0
RE1,COA,2039,0.0
RE1,COA,2040,0.0
RE1,COA,2041,0.0
RE1,COA,2042,0.0
RE1,COA,2043,0.0
RE1,COA,2044,0.0
RE1,COA,2045,0.0
RE1,COA,2046,0.0
RE1,COA,2047,0.0
RE1,COA,2048,0.0
RE1,COA,2049,0.0
RE1,COA,2050,0.0
RE1,DEMCCO,2019,4.89
RE1,DEMCCO,2020,4.84
RE1,DEMCCO,2021,5.19
RE1,DEMCCO,2022,5.54
RE1,DEMCCO,2023,5.89
RE1,DEMCCO,2024,6.24
RE1,DEMCCO,2025,6.6
RE1,DEMCCO,2026,7.04
RE1,DEMCCO,2027,7.49
RE1,DEMCCO,2028,7.94
RE1,DEMCCO,2029,8.39
RE1,DEMCCO,2030,8.84
RE1,DEMCCO,2031,9.39
RE1,DEMCCO,2032,9.95
RE1,DEMCCO,2033,10.51
RE1,DEMCCO,2034,11.08
RE1,DEMCCO,2035,11.65
RE1,DEMCCO,2036,12.33
RE1,DEMCCO,2037,13.02
RE1,DEMCCO,2038,13.71
RE1,DEMCCO,2039,14.41
RE1,DEMCCO,2040,15.11
RE1,DEMCCO,2041,15.94
RE1,DEMCCO,2042,16.77
RE1,DEMCCO,2043,17.61
RE1,DEMCCO,2044,18.46
RE1,DEMCCO,2045,19.31
RE1,DEMCCO,2046,20.3
RE1,DEMCCO,2047,21.3
RE1,DEMCCO,2048,22.3
RE1,DEMCCO,2049,23.32
RE1,DEMCCO,2050,24.33
RE1,DEMICM,2019,0.0
RE1,DEMICM,2020,0.0
RE1,DEMICM,2021,0.0
RE1,DEMICM,2022,0.0
RE1,DEMICM,2023,0.0
RE1,DEMICM,2024,0.0
RE1,DEMICM,2025,0.0
RE1,DEMICM,2026,0.0
RE1,DEMICM,2027,0.0
RE1,DEMICM,2028,0.0
RE1,DEMICM,2029,0.0
RE1,DEMICM,2030,0.0
RE1,DEMICM,2031,0.0
RE1,DEMICM,2032,0.0
RE1,DEMICM,2033,0.0
RE1,DEMICM,2034,0.0
RE1,DEMICM,2035,0.0
RE1,DEMICM,2036,0.0
RE1,DEMICM,2037,0.0
RE1,DEMICM,2038,0.0
RE1,DEMICM,2039,0.0
RE1,DEMICM,2040,0.0
RE1,DEMICM,2041,0.0
RE1,DEMICM,2042,0.0
RE1,DEMICM,2043,0.0
RE1,DEMICM,2044,0.0
RE1,DEMICM,2045,0.0
RE1,DEMICM,2046,0.0
RE1,DEMICM,2047,0.0
RE1,DEMICM,2048,0.0
RE1,DEMICM,2049,0.0
RE1,DEMICM,2050,0.0
RE1,DEMIFP,2019,0.0
RE1,DEMIFP,2020,0.0
RE1,DEMIFP,2021,0.0
RE1,DEMIFP,2022,0.0
RE1,DEMIFP,2023,0.0
RE1,DEMIFP,2024,0.0
RE1,DEMIFP,2025,0.0
RE1,DEMIFP,2026,0.0
RE1,DEMIFP,2027,0.0
RE1,DEMIFP,2028,0.0
RE1,DEMIFP,2029,0.0
RE1,DEMIFP,2030,0.0
RE1,DEMIFP,2031,0.0
RE1,DEMIFP,2032,0.0
RE1,DEMIFP,2033,0.0
RE1,DEMIFP,2034,0.0
RE1,DEMIFP,2035,0.0
RE1,DEMIFP,2036,0.0
RE1,DEMIFP,2037,0.0
RE1,DEMIFP,2038,0.0
RE1,DEMIFP,2039,0.0
RE1,DEMIFP,2040,0.0
RE1,DEMIFP,2041,0.0
RE1,DEMIFP,2042,0.0
RE1,DEMIFP,2043,0.0
RE1,DEMIFP,2044,0.0
RE1,DEMIFP,2045,0.0
RE1,DEMIFP,2046,0.0
RE1,DEMIFP,2047,0.0
RE1,DEMIFP,2048,0.0
RE1,DEMIFP,2049,0.0
RE1,DEMIFP,2050,0.0
RE1,DEMIOI,2019,0.0
RE1,DEMIOI,2020,0.0
RE1,DEMIOI,2021,0.0
RE1,DEMIOI,2022,0.0
RE1,DEMIOI,2023,0.0
RE1,DEMIOI,2024,0.0
RE1,DEMIOI,2025,0.0
RE1,DEMIOI,2026,0.0
RE1,DEMIOI,2027,0.0
RE1,DEMIOI,2028,0.0
RE1,DEMIOI,2029,0.0
RE1,DEMIOI,2030,0.0
RE1,DEMIOI,2031,0.0
RE1,DEMIOI,2032,0.0
RE1,DEMIOI,2033,0.0
RE1,DEMIOI,2034,0.0
RE1,DEMIOI,2035,0.0
RE1,DEMIOI,2036,0.0
RE1,DEMIOI,2037,0.0
RE1,DEMIOI,2038,0.0
RE1,DEMIOI,2039,0.0
RE1,DEMIOI,2040,0.0
RE1,DEMIOI,2041,0.0
RE1,DEMIOI,2042,0.0
RE1,DEMIOI,2043,0.0
RE1,DEMIOI,2044,0.0
RE1,DEMIOI,2045,0.0
RE1,DEMIOI,2046,0.0
RE1,DEMIOI,2047,0.0
RE1,DEMIOI,2048,0.0
RE1,DEMIOI,2049,0.0
RE1,DEMIOI,2050,0.0
RE1,DEMRC1,2019,0.88
RE1,DEMRC1,2020,0.92
RE1,DEMRC1,2021,0.97
RE1,DEMRC1,2022,1.02
RE1,DEMRC1,2023,1.07
RE1,DEMRC1,2024,1.13
RE1,DEMRC1,2025,1.18
RE1,DEMRC1,2026,1.24
RE1,DEMRC1,2027,1.31
RE1,DEMRC1,2028,1.37
RE1,DEMRC1,2029,1.44
RE1,DEMRC1,2030,1.51
RE1,DEMRC1,2031,1.58
RE1,DEMRC1,2032,1.66
RE1,DEMRC1,2033,1.74
RE1,DEMRC1,2034,1.82
RE1,DEMRC1,2035,1.9
RE1,DEMRC1,2036,1.99
RE1,DEMRC1,2037,2.08
RE1,DEMRC1,2038,2.17
RE1,DEMRC1,2039,2.26
RE1,DEMRC1,2040,2.36
RE1,DEMRC1,2041,2.46
RE1,DEMRC1,2042,2.56
RE1,DEMRC1,2043,2.67
RE1,DEMRC1,2044,2.77
RE1,DEMRC1,2045,2.88
RE1,DEMRC1,2046,3.0
RE1,DEMRC1,2047,3.11
RE1,DEMRC1,2048,3.23
RE1,DEMRC1,2049,3.35
RE1,DEMRC1,2050,3.47
RE1,DEMRC2,2019,0.11
RE1,DEMRC2,2020,0.12
RE1,DEMRC2,2021,0.12
RE1,DEMRC2,2022,0.13
RE1,DEMRC2,2023,0.14
RE1,DEMRC2,2024,0.15
RE1,DEMRC2,2025,0.15
RE1,DEMRC2,2026,0.16
RE1,DEMRC2,2027,0.17
RE1,DEMRC2,2028,0.18
RE1,DEMRC2,2029,0.19
RE1,DEMRC2,2030,0.19
RE1,DEMRC2,2031,0.2
RE1,DEMRC2,2032,0.21
RE1,DEMRC2,2033,0.22
RE1,DEMRC2,2034,0.23
RE1,DEMRC2,2035,0.24
RE1,DEMRC2,2036,0.25
RE1,DEMRC2,2037,0.25
RE1,DEMRC2,2038,0.26
RE1,DEMRC2,2039,0.27
RE1,DEMRC2,2040,0.28
RE1,DEMRC2,2041,0.29
RE1,DEMRC2,2042,0.3
RE1,DEMRC2,2043,0.3
RE1,DEMRC2,2044,0.31
RE1,DEMRC2,2045,0.32
RE1,DEMRC2,2046,0.33
RE1,DEMRC2,2047,0.34
RE1,DEMRC2,2048,0.34
RE1,DEMRC2,2049,0.35
RE1,DEMRC2,2050,0.36
RE1,DEMRL1,2019,4.54
RE1,DEMRL1,2020,4.76
RE1,DEMRL1,2021,5.01
RE1,DEMRL1,2022,5.27
RE1,DEMRL1,2023,5.54
RE1,DEMRL1,2024,5.81
RE1,DEMRL1,2025,6.1
RE1,DEMRL1,2026,6.41
RE1,DEMRL1,2027,6.74
RE1,DEMRL1,2028,7.07
RE1,DEMRL1,2029,7.42
RE1,DEMRL1,2030,7.77
RE1,DEMRL1,2031,8.16
RE1,DEMRL1,2032,8.55
RE1,DEMRL1,2033,8.96
RE1,DEMRL1,2034,9.38
RE1,DEMRL1,2035,9.81
RE1,DEMRL1,2036,10.25
RE1,DEMRL1,2037,10.71
RE1,DEMRL1,2038,11.19
RE1,DEMRL1,2039,11.68
RE1,DEMRL1,2040,12.18
RE1,DEMRL1,2041,12.69
RE1,DEMRL1,2042,13.21
RE1,DEMRL1,2043,13.75
RE1,DEMRL1,2044,14.31
RE1,DEMRL1,2045,14.87
RE1,DEMRL1,2046,15.45
RE1,DEMRL1,2047,16.04
RE1,DEMRL1,2048,16.64
RE1,DEMRL1,2049,17.26
RE1,DEMRL1,2050,17.89
RE1,DEMRL2,2019,1.41
RE1,DEMRL2,2020,1.5
RE1,DEMRL2,2021,1.59
RE1,DEMRL2,2022,1.68
RE1,DEMRL2,2023,1.78
RE1,DEMRL2,2024,1.88
RE1,DEMRL2,2025,1.97
RE1,DEMRL2,2026,2.08
RE1,DEMRL2,2027,2.18
RE1,DEMRL2,2028,2.28
RE1,DEMRL2,2029,2.39
RE1,DEMRL2,2030,2.5
RE1,DEMRL2,2031,2.6
RE1,DEMRL2,2032,2.71
RE1,DEMRL2,2033,2.82
RE1,DEMRL2,2034,2.93
RE1,DEMRL2,2035,3.04
RE1,DEMRL2,2036,3.15
RE1,DEMRL2,2037,3.26
RE1,DEMRL2,2038,3.37
RE1,DEMRL2,2039,3.48
RE1,DEMRL2,2040,3.59
RE1,DEMRL2,2041,3.7
RE1,DEMRL2,2042,3.8
RE1,DEMRL2,2043,3.91
RE1,DEMRL2,2044,4.01
RE1,DEMRL2,2045,4.12
RE1,DEMRL2,2046,4.22
RE1,DEMRL2,2047,4.32
