REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
RE1,AGRDSL001,AGRDSL,1,2019,3.35
RE1,AGRDSL001,AGRDSL,1,2020,3.35
RE1,AGRDSL001,AGRDSL,1,2021,3.35
RE1,AGRDSL001,AGRDSL,1,2022,3.35
RE1,AGRDSL001,AGRDSL,1,2023,3.35
RE1,AGRDSL001,AGRDSL,1,2024,3.35
RE1,AGRDSL001,AGRDSL,1,2025,3.35
RE1,AGRDSL001,AGRDSL,1,2026,3.35
RE1,AGRDSL001,AGRDSL,1,2027,3.35
RE1,AGRDSL001,AGRDSL,1,2028,3.35
RE1,AGRDSL001,AGRDSL,1,2029,3.35
RE1,AGRDSL001,AGRDSL,1,2030,3.35
RE1,AGRDSL001,AGRDSL,1,2031,3.35
RE1,AGRDSL001,AGRDSL,1,2032,3.35
RE1,AGRDSL001,AGRDSL,1,2033,3.35
RE1,AGRDSL001,AGRDSL,1,2034,3.35
RE1,AGRDSL001,AGRDSL,1,2035,3.35
RE1,AGRDSL001,AGRDSL,1,2036,3.35
RE1,AGRDSL001,AGRDSL,1,2037,3.35
RE1,AGRDSL001,AGRDSL,1,2038,3.35
RE1,AGRDSL001,AGRDSL,1,2039,3.35
RE1,AGRDSL001,AGRDSL,1,2040,3.35
RE1,AGRDSL001,AGRDSL,1,2041,3.35
RE1,AGRDSL001,AGRDSL,1,2042,3.35
RE1,AGRDSL001,AGRDSL,1,2043,3.35
RE1,AGRDSL001,AGRDSL,1,2044,3.35
RE1,AGRDSL001,AGRDSL,1,2045,3.35
RE1,AGRDSL001,AGRDSL,1,2046,3.35
RE1,AGRDSL001,AGRDSL,1,2047,3.35
RE1,AGRDSL001,AGRDSL,1,2048,3.35
RE1,AGRDSL001,AGRDSL,1,2049,3.35
RE1,AGRDSL001,AGRDSL,1,2050,3.35
RE1,AGRDSL001,AGRDSL,2,2019,0.0
RE1,AGRDSL001,AGRDSL,2,2020,0.0
RE1,AGRDSL001,AGRDSL,2,2021,0.0
RE1,AGRDSL001,AGRDSL,2,2022,0.0
RE1,AGRDSL001,AGRDSL,2,2023,0.0
RE1,AGRDSL001,AGRDSL,2,2024,0.0
RE1,AGRDSL001,AGRDSL,2,2025,0.0
RE1,AGRDSL001,AGRDSL,2,2026,0.0
RE1,AGRDSL001,AGRDSL,2,2027,0.0
RE1,AGRDSL001,AGRDSL,2,2028,0.0
RE1,AGRDSL001,AGRDSL,2,2029,0.0
RE1,AGRDSL001,AGRDSL,2,2030,0.0
RE1,AGRDSL001,AGRDSL,2,2031,0.0
RE1,AGRDSL001,AGRDSL,2,2032,0.0
RE1,AGRDSL001,AGRDSL,2,2033,0.0
RE1,AGRDSL001,AGRDSL,2,2034,0.0
RE1,AGRDSL001,AGRDSL,2,2035,0.0
RE1,AGRDSL001,AGRDSL,2,2036,0.0
RE1,AGRDSL001,AGRDSL,2,2037,0.0
RE1,AGRDSL001,AGRDSL,2,2038,0.0
RE1,AGRDSL001,AGRDSL,2,2039,0.0
RE1,AGRDSL001,AGRDSL,2,2040,0.0
RE1,AGRDSL001,AGRDSL,2,2041,0.0
RE1,AGRDSL001,AGRDSL,2,2042,0.0
RE1,AGRDSL001,AGRDSL,2,2043,0.0
RE1,AGRDSL001,AGRDSL,2,2044,0.0
RE1,AGRDSL001,AGRDSL,2,2045,0.0
RE1,AGRDSL001,AGRDSL,2,2046,0.0
RE1,AGRDSL001,AGRDSL,2,2047,0.0
RE1,AGRDSL001,AGRDSL,2,2048,0.0
RE1,AGRDSL001,AGRDSL,2,2049,0.0
RE1,AGRDSL001,AGRDSL,2,2050,0.0
RE1,AGRDSL005,AGRDSL,1,2019,2.81
RE1,AGRDSL005,AGRDSL,1,2020,2.81
RE1,AGRDSL005,AGRDSL,1,2021,2.81
RE1,AGRDSL005,AGRDSL,1,2022,2.81
RE1,AGRDSL005,AGRDSL,1,2023,2.81
RE1,AGRDSL005,AGRDSL,1,2024,2.81
RE1,AGRDSL005,AGRDSL,1,2025,2.81
RE1,AGRDSL005,AGRDSL,1,2026,2.81
RE1,AGRDSL005,AGRDSL,1,2027,2.81
