REGION,TECHNOLOGY,VALUE
RE1,AGRDSL001,999999.0
RE1,AGRDSL005,999999.0
RE1,AGRGSL001,999999.0
RE1,AGRGSL005,999999.0
RE1,AGRHFO001,999999.0
RE1,BACKSTOP,999999.0
RE1,CCOELC001,999999.0
RE1,EXPELC,999999.0
RE1,FTEAGRDSL,999999.0
RE1,FTEAGRGSL,999999.0
RE1,FTEAGRHFO,999999.0
RE1,FTECOMELC,999999.0
RE1,FTEINDCOA,999999.0
RE1,FTEINDDSL,999999.0
RE1,FTEINDELC,999999.0
RE1,FTEINDHFO,999999.0
RE1,FTEINDKER,999999.0
RE1,FTEINDLPG,999999.0
RE1,FTERESBGS,999999.0
RE1,FTERESBIO,999999.0
RE1,FTERESCHC,999999.0
RE1,FTERESELC,999999.0
RE1,FTERESETH,999999.0
RE1,FTERESKER,999999.0
RE1,FTERESLPG,999999.0
RE1,FTETRADSL,999999.0
RE1,FTETRAELC,999999.0
RE1,FTETRAGSL,999999.0
RE1,FTETRAHFO,999999.0
RE1,FTETRAJFL,999999.0
RE1,ICMCOA001,999999.0
RE1,ICMCOA005,999999.0
RE1,IFPELC001,999999.0
RE1,IMPBIO,999999.0
RE1,IMPCOA,999999.0
RE1,IMPDSL,999999.0
RE1,IMPELC001,999999.0
RE1,IMPELC002,999999.0
RE1,IMPGSL,999999.0
RE1,IMPHFOMOM,999999.0
RE1,IMPHFONAI,999999.0
RE1,IMPJFL,999999.0
RE1,IMPKER,999999.0
RE1,IMPLFOELD,999999.0
RE1,IMPLPG,999999.0
RE1,IMPNGS,999999.0
RE1,IMPURN,999999.0
RE1,IOIDSL001,999999.0
RE1,IOIELC001,999999.0
RE1,IOIHFO001,999999.0
RE1,IOIKER001,999999.0
RE1,IOILPG001,999999.0
RE1,MINBGS,999999.0
RE1,MINBIO,999999.0
RE1,MINGEO,999999.0
RE1,MINHYD,999999.0
RE1,MINSOL,999999.0
RE1,MINURN,999999.0
RE1,MINWND,999999.0
RE1,PWRBIO001,999999.0
RE1,PWRCOA001,999999.0
RE1,PWRDIST,999999.0
RE1,PWRGEO001,999999.0
RE1,PWRGEO002,999999.0
RE1,PWRGEO003,999999.0
RE1,PWRGEO004,999999.0
RE1,PWRGEO005,999999.0
RE1,PWRGEO006,999999.0
RE1,PWRGEO007,999999.0
RE1,PWRHFO001,999999.0
RE1,PWRHYD001,999999.0
RE1,PWRHYD002,999999.0
RE1,PWRHYD003,999999.0
RE1,PWRHYD004,999999.0
RE1,PWRHYD005,999999.0
RE1,PWRLFO001,999999.0
RE1,PWRNGS001,999999.0
RE1,PWRSOL001,999999.0
RE1,PWRTRN,999999.0
RE1,PWRURN001,999999.0
RE1,PWRWND001,999999.0
RE1,PWRWND002,999999.0
RE1,PWRWND003,999999.0
RE1,PWRWND004,999999.0
RE1,PWRWND005,999999.0
RE1,PWRWND006,999999.0
RE1,PWRWND007,999999.0
RE1,PWRWND008,999999.0
RE1,PWRWND009,999999.0
RE1,PWRWND010,999999.0
RE1,RC1ELC001,999999.0
RE1,RC2ELC001,999999.0
RE1,RK1BGS001,999999.0
RE1,RK1BIO001,999999.0
RE1,RK1BIO005,999999.0
RE1,RK1CHC001,999999.0
RE1,RK1CHC005,999999.0
RE1,RK1ELC001,999999.0
RE1,RK1ELC005,999999.0
RE1,RK1ELC100,999999.0
RE1,RK1ETH001,999999.0
RE1,RK1KER001,999999.0
RE1,RK1LPG001,999999.0
RE1,RK2BGS001,999999.0
RE1,RK2BIO001,999999.0
RE1,RK2BIO005,999999.0
RE1,RK2CHC001,999999.0
RE1,RK2CHC005,999999.0
RE1,RK2ELC001,999999.0
RE1,RK2ELC005,999999.0
RE1,RK2ELC100,999999.0
RE1,RK2ETH001,999999.0
RE1,RK2KER001,999999.0
RE1,RK2LPG001,999999.0
RE1,RL1ELC001,999999.0
RE1,RL1ELC005,999999.0
RE1,RL1KER001,999999.0
RE1,RL1KER005,999999.0
RE1,RL2ELC001,999999.0
RE1,RL2ELC005,999999.0
RE1,RL2KER001,999999.0
RE1,RL2KER005,999999.0
RE1,RO1ELC001,999999.0
RE1,RO1ELC005,999999.0
RE1,RO2ELC001,999999.0
RE1,RO2ELC005,999999.0
RE1,TAIJFL001,999999.0
RE1,TRBDSL001,999999.0
RE1,TRBDSL005,999999.0
RE1,TRBDSL010,999999.0
RE1,TRBELC001,999999.0
RE1,TRBGSL001,999999.0
RE1,TRBGSL005,999999.0
RE1,TRBGSL010,999999.0
RE1,TRCDSL001,999999.0
RE1,TRCDSL005,999999.0
RE1,TRCDSL010,999999.0
RE1,TRCELC001,999999.0
RE1,TRCGSL001,999999.0
RE1,TRCGSL005,999999.0
RE1,TRCGSL010,999999.0
RE1,TRHDSL001,999999.0
RE1,TRHDSL005,999999.0
RE1,TRHDSL010,999999.0
RE1,TRHGSL001,999999.0
RE1,TRHGSL005,999999.0
RE1,TRHGSL010,999999.0
RE1,TRLDSL001,999999.0
RE1,TRLDSL005,999999.0
RE1,TRLDSL010,999999.0
RE1,TRLELC005,999999.0
RE1,TRLGSL001,999999.0
RE1,TRLGSL005,999999.0
RE1,TRLGSL010,999999.0
RE1,TRMDSL001,999999.0
RE1,TRMDSL005,999999.0
RE1,TRMDSL010,999999.0
RE1,TRMELC001,999999.0
RE1,TRMGSL001,999999.0
RE1,TRMGSL005,999999.0
RE1,TRMGSL010,999999.0
RE1,TWDHFO001,999999.0
RE1,UPSCHC,999999.0
RE1,UPSETH,999999.0
RE1,TTRDSL001,999999.0
RE1,TTRELC001,999999.0
