REGION,EMISSION,VALUE
RE1,CO2,999999.0
RE1,CO2agr,999999.0
RE1,CO2com,999999.0
RE1,CO2ind,999999.0
RE1,CO2res,999999.0
RE1,CO2tra,999999.0
