REGION,TECHNOLOGY,VALUE
RE1,AGRDSL001,31.536
RE1,AGRDSL005,31.536
RE1,AGRGSL001,31.536
RE1,AGRGSL005,31.536
RE1,AGRHFO001,31.536
RE1,BACKSTOP,31.536
RE1,CCOELC001,1.0
RE1,EXPELC,31.536
RE1,FTEAGRDSL,31.536
RE1,FTEAGRGSL,31.536
RE1,FTEAGRHFO,31.536
RE1,FTECOMELC,31.536
RE1,FTEINDCOA,31.536
RE1,FTEINDDSL,31.536
RE1,FTEINDELC,31.536
RE1,FTEINDHFO,31.536
RE1,FTEINDKER,31.536
RE1,FTEINDLPG,31.536
RE1,FTERESBGS,31.536
RE1,FTERESBIO,31.536
RE1,FTERESCHC,31.536
RE1,FTERESELC,31.536
RE1,FTERESETH,31.536
RE1,FTERESKER,31.536
RE1,FTERESLPG,31.536
RE1,FTETRADSL,31.536
RE1,FTETRAELC,31.536
RE1,FTETRAGSL,31.536
RE1,FTETRAHFO,31.536
RE1,FTETRAJFL,31.536
RE1,ICMCOA001,31.536
RE1,ICMCOA005,31.536
RE1,IFPELC001,31.536
RE1,IMPBIO,31.536
RE1,IMPCOA,31.536
RE1,IMPDSL,31.536
RE1,IMPELC001,31.536
RE1,IMPELC002,31.536
RE1,IMPGSL,31.536
RE1,IMPHFOMOM,31.536
RE1,IMPHFONAI,31.536
RE1,IMPJFL,31.536
RE1,IMPKER,31.536
RE1,IMPLFOELD,31.536
RE1,IMPLPG,31.536
RE1,IMPNGS,31.536
RE1,IMPURN,31.536
RE1,IOIDSL001,31.536
RE1,IOIELC001,31.536
RE1,IOIHFO001,31.536
RE1,IOIKER001,31.536
RE1,IOILPG001,31.536
RE1,MINBGS,31.536
RE1,MINBIO,31.536
RE1,MINGEO,31.536
RE1,MINHYD,31.536
RE1,MINSOL,31.536
RE1,MINURN,31.536
RE1,MINWND,31.536
RE1,PWRBIO001,31.536
RE1,PWRCOA001,31.536
RE1,PWRDIST,31.536
RE1,PWRGEO001,31.536
RE1,PWRGEO002,31.536
RE1,PWRGEO003,31.536
RE1,PWRGEO004,31.536
RE1,PWRGEO005,31.536
RE1,PWRGEO006,31.536
RE1,PWRGEO007,31.536
RE1,PWRHFO001,31.536
RE1,PWRHYD001,31.536
RE1,PWRHYD002,31.536
RE1,PWRHYD003,31.536
RE1,PWRHYD004,31.536
RE1,PWRHYD005,31.536
RE1,PWRLFO001,31.536
RE1,PWRNGS001,31.536
RE1,PWRSOL001,31.536
RE1,PWRTRN,31.536
RE1,PWRURN001,31.536
RE1,PWRWND001,31.536
RE1,PWRWND002,31.536
RE1,PWRWND003,31.536
RE1,PWRWND004,31.536
RE1,PWRWND005,31.536
RE1,PWRWND006,31.536
RE1,PWRWND007,31.536
RE1,PWRWND008,31.536
RE1,PWRWND009,31.536
RE1,PWRWND010,31.536
RE1,RC1ELC001,31.536
RE1,RC2ELC001,31.536
RE1,RK1BGS001,31.536
RE1,RK1BIO001,31.536
RE1,RK1BIO005,31.536
RE1,RK1CHC001,31.536
RE1,RK1CHC005,31.536
RE1,RK1ELC001,31.536
RE1,RK1ELC005,31.536
RE1,RK1ELC100,31.536
RE1,RK1ETH001,31.536
RE1,RK1KER001,31.536
RE1,RK1LPG001,31.536
RE1,RK2BGS001,31.536
RE1,RK2BIO001,31.536
RE1,RK2BIO005,31.536
RE1,RK2CHC001,31.536
RE1,RK2CHC005,31.536
RE1,RK2ELC001,31.536
RE1,RK2ELC005,31.536
RE1,RK2ELC100,31.536
RE1,RK2ETH001,31.536
RE1,RK2KER001,31.536
RE1,RK2LPG001,31.536
RE1,RL1ELC001,31.536
RE1,RL1ELC005,31.536
RE1,RL1KER001,31.536
RE1,RL1KER005,31.536
RE1,RL2ELC001,31.536
RE1,RL2ELC005,31.536
RE1,RL2KER001,31.536
RE1,RL2KER005,31.536
RE1,RO1ELC001,31.536
RE1,RO1ELC005,31.536
RE1,RO2ELC001,31.536
RE1,RO2ELC005,31.536
RE1,TAIJFL001,31.536
RE1,TRBDSL001,1.0
RE1,TRBDSL005,1.0
RE1,TRBDSL010,1.0
RE1,TRBELC001,1.0
RE1,TRBGSL001,1.0
RE1,TRBGSL005,1.0
RE1,TRBGSL010,1.0
RE1,TRCDSL001,1.0
RE1,TRCDSL005,1.0
RE1,TRCDSL010,1.0
RE1,TRCELC001,1.0
RE1,TRCGSL001,1.0
RE1,TRCGSL005,1.0
RE1,TRCGSL010,1.0
RE1,TRHDSL001,1.0
RE1,TRHDSL005,1.0
RE1,TRHDSL010,1.0
RE1,TRHGSL001,1.0
RE1,TRHGSL005,1.0
RE1,TRHGSL010,1.0
RE1,TRLDSL001,1.0
RE1,TRLDSL005,1.0
RE1,TRLDSL010,1.0
RE1,TRLELC005,1.0
RE1,TRLGSL001,1.0
RE1,TRLGSL005,1.0
RE1,TRLGSL010,1.0
RE1,TRMDSL001,1.0
RE1,TRMDSL005,1.0
RE1,TRMDSL010,1.0
RE1,TRMELC001,1.0
RE1,TRMGSL001,1.0
RE1,TRMGSL005,1.0
RE1,TRMGSL010,1.0
RE1,TWDHFO001,31.536
RE1,UPSCHC,31.536
RE1,UPSETH,31.536
RE1,TTRDSL001,31.536
RE1,TTRELC001,31.536
