REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,AGRDSL001,1,2019,0.001
RE1,AGRDSL001,1,2020,0.001
RE1,AGRDSL001,1,2021,0.001
RE1,AGRDSL001,1,2022,0.001
RE1,AGRDSL001,1,2023,0.001
RE1,AGRDSL001,1,2024,0.001
RE1,AGRDSL001,1,2025,0.001
RE1,AGRDSL001,1,2026,0.001
RE1,AGRDSL001,1,2027,0.001
RE1,AGRDSL001,1,2028,0.001
RE1,AGRDSL001,1,2029,0.001
RE1,AGRDSL001,1,2030,0.001
RE1,AGRDSL001,1,2031,0.001
RE1,AGRDSL001,1,2032,0.001
RE1,AGRDSL001,1,2033,0.001
RE1,AGRDSL001,1,2034,0.001
RE1,AGRDSL001,1,2035,0.001
RE1,AGRDSL001,1,2036,0.001
RE1,AGRDSL001,1,2037,0.001
RE1,AGRDSL001,1,2038,0.001
RE1,AGRDSL001,1,2039,0.001
RE1,AGRDSL001,1,2040,0.001
RE1,AGRDSL001,1,2041,0.001
RE1,AGRDSL001,1,2042,0.001
RE1,AGRDSL001,1,2043,0.001
RE1,AGRDSL001,1,2044,0.001
RE1,AGRDSL001,1,2045,0.001
RE1,AGRDSL001,1,2046,0.001
RE1,AGRDSL001,1,2047,0.001
RE1,AGRDSL001,1,2048,0.001
RE1,AGRDSL001,1,2049,0.001
RE1,AGRDSL001,1,2050,0.001
RE1,AGRDSL001,2,2019,9999.0
RE1,AGRDSL001,2,2020,9999.0
RE1,AGRDSL001,2,2021,9999.0
RE1,AGRDSL001,2,2022,9999.0
RE1,AGRDSL001,2,2023,9999.0
RE1,AGRDSL001,2,2024,9999.0
RE1,AGRDSL001,2,2025,9999.0
RE1,AGRDSL001,2,2026,9999.0
RE1,AGRDSL001,2,2027,9999.0
RE1,AGRDSL001,2,2028,9999.0
RE1,AGRDSL001,2,2029,9999.0
RE1,AGRDSL001,2,2030,9999.0
RE1,AGRDSL001,2,2031,9999.0
RE1,AGRDSL001,2,2032,9999.0
RE1,AGRDSL001,2,2033,9999.0
RE1,AGRDSL001,2,2034,9999.0
RE1,AGRDSL001,2,2035,9999.0
RE1,AGRDSL001,2,2036,9999.0
RE1,AGRDSL001,2,2037,9999.0
RE1,AGRDSL001,2,2038,9999.0
RE1,AGRDSL001,2,2039,9999.0
RE1,AGRDSL001,2,2040,9999.0
RE1,AGRDSL001,2,2041,9999.0
RE1,AGRDSL001,2,2042,9999.0
RE1,AGRDSL001,2,2043,9999.0
RE1,AGRDSL001,2,2044,9999.0
RE1,AGRDSL001,2,2045,9999.0
RE1,AGRDSL001,2,2046,9999.0
RE1,AGRDSL001,2,2047,9999.0
RE1,AGRDSL001,2,2048,9999.0
RE1,AGRDSL001,2,2049,9999.0
RE1,AGRDSL001,2,2050,9999.0
RE1,AGRDSL005,1,2019,0.001
RE1,AGRDSL005,1,2020,0.001
RE1,AGRDSL005,1,2021,0.001
RE1,AGRDSL005,1,2022,0.001
RE1,AGRDSL005,1,2023,0.001
RE1,AGRDSL005,1,2024,0.001
RE1,AGRDSL005,1,2025,0.001
RE1,AGRDSL005,1,2026,0.001
RE1,AGRDSL005,1,2027,0.001
RE1,AGRDSL005,1,2028,0.001
RE1,AGRDSL005,1,2029,0.001
RE1,AGRDSL005,1,2030,0.001
RE1,AGRDSL005,1,2031,0.001
RE1,AGRDSL005,1,2032,0.001
RE1,AGRDSL005,1,2033,0.001
RE1,AGRDSL005,1,2034,0.001
RE1,AGRDSL005,1,2035,0.001
RE1,AGRDSL005,1,2036,0.001
RE1,AGRDSL005,1,2037,0.001
RE1,AGRDSL005,1,2038,0.001
RE1,AGRDSL005,1,2039,0.001
RE1,AGRDSL005,1,2040,0.001
RE1,AGRDSL005,1,2041,0.001
RE1,AGRDSL005,1,2042,0.001
RE1,AGRDSL005,1,2043,0.001
RE1,AGRDSL005,1,2044,0.001
RE1,AGRDSL005,1,2045,0.001
RE1,AGRDSL005,1,2046,0.001
RE1,AGRDSL005,1,2047,0.001
RE1,AGRDSL005,1,2048,0.001
RE1,AGRDSL005,1,2049,0.001
RE1,AGRDSL005,1,2050,0.001
RE1,AGRDSL005,2,2019,9999.0
RE1,AGRDSL005,2,2020,9999.0
RE1,AGRDSL005,2,2021,9999.0
RE1,AGRDSL005,2,2022,9999.0
RE1,AGRDSL005,2,2023,9999.0
RE1,AGRDSL005,2,2024,9999.0
RE1,AGRDSL005,2,2025,9999.0
RE1,AGRDSL005,2,2026,9999.0
RE1,AGRDSL005,2,2027,9999.0
RE1,AGRDSL005,2,2028,9999.0
RE1,AGRDSL005,2,2029,9999.0
RE1,AGRDSL005,2,2030,9999.0
RE1,AGRDSL005,2,2031,9999.0
RE1,AGRDSL005,2,2032,9999.0
RE1,AGRDSL005,2,2033,9999.0
RE1,AGRDSL005,2,2034,9999.0
RE1,AGRDSL005,2,2035,9999.0
RE1,AGRDSL005,2,2036,9999.0
RE1,AGRDSL005,2,2037,9999.0
RE1,AGRDSL005,2,2038,9999.0
RE1,AGRDSL005,2,2039,9999.0
RE1,AGRDSL005,2,2040,9999.0
RE1,AGRDSL005,2,2041,9999.0
RE1,AGRDSL005,2,2042,9999.0
RE1,AGRDSL005,2,2043,9999.0
RE1,AGRDSL005,2,2044,9999.0
RE1,AGRDSL005,2,2045,9999.0
RE1,AGRDSL005,2,2046,9999.0
RE1,AGRDSL005,2,2047,9999.0
RE1,AGRDSL005,2,2048,9999.0
RE1,AGRDSL005,2,2049,9999.0
RE1,AGRDSL005,2,2050,9999.0
RE1,AGRGSL001,1,2019,0.001
RE1,AGRGSL001,1,2020,0.001
RE1,AGRGSL001,1,2021,0.001
RE1,AGRGSL001,1,2022,0.001
RE1,AGRGSL001,1,2023,0.001
RE1,AGRGSL001,1,2024,0.001
RE1,AGRGSL001,1,2025,0.001
RE1,AGRGSL001,1,2026,0.001
RE1,AGRGSL001,1,2027,0.001
RE1,AGRGSL001,1,2028,0.001
RE1,AGRGSL001,1,2029,0.001
RE1,AGRGSL001,1,2030,0.001
RE1,AGRGSL001,1,2031,0.001
RE1,AGRGSL001,1,2032,0.001
RE1,AGRGSL001,1,2033,0.001
RE1,AGRGSL001,1,2034,0.001
RE1,AGRGSL001,1,2035,0.001
RE1,AGRGSL001,1,2036,0.001
RE1,AGRGSL001,1,2037,0.001
RE1,AGRGSL001,1,2038,0.001
RE1,AGRGSL001,1,2039,0.001
RE1,AGRGSL001,1,2040,0.001
RE1,AGRGSL001,1,2041,0.001
RE1,AGRGSL001,1,2042,0.001
RE1,AGRGSL001,1,2043,0.001
RE1,AGRGSL001,1,2044,0.001
RE1,AGRGSL001,1,2045,0.001
RE1,AGRGSL001,1,2046,0.001
RE1,AGRGSL001,1,2047,0.001
RE1,AGRGSL001,1,2048,0.001
RE1,AGRGSL001,1,2049,0.001
RE1,AGRGSL001,1,2050,0.001
RE1,AGRGSL001,2,2019,9999.0
RE1,AGRGSL001,2,2020,9999.0
RE1,AGRGSL001,2,2021,9999.0
RE1,AGRGSL001,2,2022,9999.0
RE1,AGRGSL001,2,2023,9999.0
RE1,AGRGSL001,2,2024,9999.0
RE1,AGRGSL001,2,2025,9999.0
RE1,AGRGSL001,2,2026,9999.0
RE1,AGRGSL001,2,2027,9999.0
RE1,AGRGSL001,2,2028,9999.0
RE1,AGRGSL001,2,2029,9999.0
RE1,AGRGSL001,2,2030,9999.0
RE1,AGRGSL001,2,2031,9999.0
RE1,AGRGSL001,2,2032,9999.0
RE1,AGRGSL001,2,2033,9999.0
RE1,AGRGSL001,2,2034,9999.0
RE1,AGRGSL001,2,2035,9999.0
RE1,AGRGSL001,2,2036,9999.0
RE1,AGRGSL001,2,2037,9999.0
RE1,AGRGSL001,2,2038,9999.0
RE1,AGRGSL001,2,2039,9999.0
RE1,AGRGSL001,2,2040,9999.0
RE1,AGRGSL001,2,2041,9999.0
RE1,AGRGSL001,2,2042,9999.0
RE1,AGRGSL001,2,2043,9999.0
RE1,AGRGSL001,2,2044,9999.0
RE1,AGRGSL001,2,2045,9999.0
RE1,AGRGSL001,2,2046,9999.0
RE1,AGRGSL001,2,2047,9999.0
RE1,AGRGSL001,2,2048,9999.0
RE1,AGRGSL001,2,2049,9999.0
RE1,AGRGSL001,2,2050,9999.0
RE1,AGRGSL005,1,2019,0.001
RE1,AGRGSL005,1,2020,0.001
RE1,AGRGSL005,1,2021,0.001
RE1,AGRGSL005,1,2022,0.001
RE1,AGRGSL005,1,2023,0.001
RE1,AGRGSL005,1,2024,0.001
RE1,AGRGSL005,1,2025,0.001
RE1,AGRGSL005,1,2026,0.001
RE1,AGRGSL005,1,2027,0.001
RE1,AGRGSL005,1,2028,0.001
RE1,AGRGSL005,1,2029,0.001
RE1,AGRGSL005,1,2030,0.001
RE1,AGRGSL005,1,2031,0.001
RE1,AGRGSL005,1,2032,0.001
RE1,AGRGSL005,1,2033,0.001
RE1,AGRGSL005,1,2034,0.001
RE1,AGRGSL005,1,2035,0.001
RE1,AGRGSL005,1,2036,0.001
RE1,AGRGSL005,1,2037,0.001
RE1,AGRGSL005,1,2038,0.001
RE1,AGRGSL005,1,2039,0.001
RE1,AGRGSL005,1,2040,0.001
RE1,AGRGSL005,1,2041,0.001
RE1,AGRGSL005,1,2042,0.001
RE1,AGRGSL005,1,2043,0.001
RE1,AGRGSL005,1,2044,0.001
RE1,AGRGSL005,1,2045,0.001
RE1,AGRGSL005,1,2046,0.001
RE1,AGRGSL005,1,2047,0.001
RE1,AGRGSL005,1,2048,0.001
RE1,AGRGSL005,1,2049,0.001
RE1,AGRGSL005,1,2050,0.001
RE1,AGRGSL005,2,2019,9999.0
RE1,AGRGSL005,2,2020,9999.0
RE1,AGRGSL005,2,2021,9999.0
RE1,AGRGSL005,2,2022,9999.0
RE1,AGRGSL005,2,2023,9999.0
RE1,AGRGSL005,2,2024,9999.0
RE1,AGRGSL005,2,2025,9999.0
RE1,AGRGSL005,2,2026,9999.0
RE1,AGRGSL005,2,2027,9999.0
RE1,AGRGSL005,2,2028,9999.0
RE1,AGRGSL005,2,2029,9999.0
RE1,AGRGSL005,2,2030,9999.0
RE1,AGRGSL005,2,2031,9999.0
RE1,AGRGSL005,2,2032,9999.0
RE1,AGRGSL005,2,2033,9999.0
RE1,AGRGSL005,2,2034,9999.0
RE1,AGRGSL005,2,2035,9999.0
RE1,AGRGSL005,2,2036,9999.0
RE1,AGRGSL005,2,2037,9999.0
RE1,AGRGSL005,2,2038,9999.0
RE1,AGRGSL005,2,2039,9999.0
RE1,AGRGSL005,2,2040,9999.0
RE1,AGRGSL005,2,2041,9999.0
RE1,AGRGSL005,2,2042,9999.0
RE1,AGRGSL005,2,2043,9999.0
RE1,AGRGSL005,2,2044,9999.0
RE1,AGRGSL005,2,2045,9999.0
RE1,AGRGSL005,2,2046,9999.0
RE1,AGRGSL005,2,2047,9999.0
RE1,AGRGSL005,2,2048,9999.0
RE1,AGRGSL005,2,2049,9999.0
RE1,AGRGSL005,2,2050,9999.0
RE1,AGRHFO001,1,2019,0.001
RE1,AGRHFO001,1,2020,0.001
RE1,AGRHFO001,1,2021,0.001
RE1,AGRHFO001,1,2022,0.001
RE1,AGRHFO001,1,2023,0.001
RE1,AGRHFO001,1,2024,0.001
RE1,AGRHFO001,1,2025,0.001
RE1,AGRHFO001,1,2026,0.001
RE1,AGRHFO001,1,2027,0.001
RE1,AGRHFO001,1,2028,0.001
RE1,AGRHFO001,1,2029,0.001
RE1,AGRHFO001,1,2030,0.001
RE1,AGRHFO001,1,2031,0.001
RE1,AGRHFO001,1,2032,0.001
RE1,AGRHFO001,1,2033,0.001
RE1,AGRHFO001,1,2034,0.001
RE1,AGRHFO001,1,2035,0.001
RE1,AGRHFO001,1,2036,0.001
RE1,AGRHFO001,1,2037,0.001
RE1,AGRHFO001,1,2038,0.001
RE1,AGRHFO001,1,2039,0.001
RE1,AGRHFO001,1,2040,0.001
RE1,AGRHFO001,1,2041,0.001
RE1,AGRHFO001,1,2042,0.001
RE1,AGRHFO001,1,2043,0.001
RE1,AGRHFO001,1,2044,0.001
RE1,AGRHFO001,1,2045,0.001
RE1,AGRHFO001,1,2046,0.001
RE1,AGRHFO001,1,2047,0.001
RE1,AGRHFO001,1,2048,0.001
RE1,AGRHFO001,1,2049,0.001
RE1,AGRHFO001,1,2050,0.001
RE1,AGRHFO001,2,2019,9999.0
RE1,AGRHFO001,2,2020,9999.0
RE1,AGRHFO001,2,2021,9999.0
RE1,AGRHFO001,2,2022,9999.0
RE1,AGRHFO001,2,2023,9999.0
RE1,AGRHFO001,2,2024,9999.0
RE1,AGRHFO001,2,2025,9999.0
RE1,AGRHFO001,2,2026,9999.0
RE1,AGRHFO001,2,2027,9999.0
RE1,AGRHFO001,2,2028,9999.0
RE1,AGRHFO001,2,2029,9999.0
RE1,AGRHFO001,2,2030,9999.0
RE1,AGRHFO001,2,2031,9999.0
RE1,AGRHFO001,2,2032,9999.0
RE1,AGRHFO001,2,2033,9999.0
RE1,AGRHFO001,2,2034,9999.0
RE1,AGRHFO001,2,2035,9999.0
RE1,AGRHFO001,2,2036,9999.0
RE1,AGRHFO001,2,2037,9999.0
RE1,AGRHFO001,2,2038,9999.0
RE1,AGRHFO001,2,2039,9999.0
RE1,AGRHFO001,2,2040,9999.0
RE1,AGRHFO001,2,2041,9999.0
RE1,AGRHFO001,2,2042,9999.0
RE1,AGRHFO001,2,2043,9999.0
RE1,AGRHFO001,2,2044,9999.0
RE1,AGRHFO001,2,2045,9999.0
RE1,AGRHFO001,2,2046,9999.0
RE1,AGRHFO001,2,2047,9999.0
RE1,AGRHFO001,2,2048,9999.0
RE1,AGRHFO001,2,2049,9999.0
RE1,AGRHFO001,2,2050,9999.0
RE1,BACKSTOP,1,2019,99.0
RE1,BACKSTOP,1,2020,99.0
RE1,BACKSTOP,1,2021,99.0
RE1,BACKSTOP,1,2022,99.0
RE1,BACKSTOP,1,2023,99.0
RE1,BACKSTOP,1,2024,99.0
RE1,BACKSTOP,1,2025,99.0
RE1,BACKSTOP,1,2026,99.0
RE1,BACKSTOP,1,2027,99.0
RE1,BACKSTOP,1,2028,99.0
RE1,BACKSTOP,1,2029,99.0
RE1,BACKSTOP,1,2030,99.0
RE1,BACKSTOP,1,2031,99.0
RE1,BACKSTOP,1,2032,99.0
RE1,BACKSTOP,1,2033,99.0
RE1,BACKSTOP,1,2034,99.0
RE1,BACKSTOP,1,2035,99.0
RE1,BACKSTOP,1,2036,99.0
RE1,BACKSTOP,1,2037,99.0
RE1,BACKSTOP,1,2038,99.0
RE1,BACKSTOP,1,2039,99.0
RE1,BACKSTOP,1,2040,99.0
RE1,BACKSTOP,1,2041,99.0
RE1,BACKSTOP,1,2042,99.0
RE1,BACKSTOP,1,2043,99.0
RE1,BACKSTOP,1,2044,99.0
RE1,BACKSTOP,1,2045,99.0
RE1,BACKSTOP,1,2046,99.0
RE1,BACKSTOP,1,2047,99.0
RE1,BACKSTOP,1,2048,99.0
RE1,BACKSTOP,1,2049,99.0
RE1,BACKSTOP,1,2050,99.0
RE1,BACKSTOP,2,2019,9999.0
RE1,BACKSTOP,2,2020,9999.0
RE1,BACKSTOP,2,2021,9999.0
RE1,BACKSTOP,2,2022,9999.0
RE1,BACKSTOP,2,2023,9999.0
RE1,BACKSTOP,2,2024,9999.0
RE1,BACKSTOP,2,2025,9999.0
RE1,BACKSTOP,2,2026,9999.0
RE1,BACKSTOP,2,2027,9999.0
RE1,BACKSTOP,2,2028,9999.0
RE1,BACKSTOP,2,2029,9999.0
RE1,BACKSTOP,2,2030,9999.0
RE1,BACKSTOP,2,2031,9999.0
RE1,BACKSTOP,2,2032,9999.0
RE1,BACKSTOP,2,2033,9999.0
RE1,BACKSTOP,2,2034,9999.0
RE1,BACKSTOP,2,2035,9999.0
RE1,BACKSTOP,2,2036,9999.0
RE1,BACKSTOP,2,2037,9999.0
RE1,BACKSTOP,2,2038,9999.0
RE1,BACKSTOP,2,2039,9999.0
RE1,BACKSTOP,2,2040,9999.0
RE1,BACKSTOP,2,2041,9999.0
RE1,BACKSTOP,2,2042,9999.0
RE1,BACKSTOP,2,2043,9999.0
RE1,BACKSTOP,2,2044,9999.0
RE1,BACKSTOP,2,2045,9999.0
RE1,BACKSTOP,2,2046,9999.0
RE1,BACKSTOP,2,2047,9999.0
RE1,BACKSTOP,2,2048,9999.0
RE1,BACKSTOP,2,2049,9999.0
RE1,BACKSTOP,2,2050,9999.0
RE1,CCOELC001,1,2019,0.001
RE1,CCOELC001,1,2020,0.001
RE1,CCOELC001,1,2021,0.001
RE1,CCOELC001,1,2022,0.001
RE1,CCOELC001,1,2023,0.001
RE1,CCOELC001,1,2024,0.001
RE1,CCOELC001,1,2025,0.001
RE1,CCOELC001,1,2026,0.001
RE1,CCOELC001,1,2027,0.001
RE1,CCOELC001,1,2028,0.001
RE1,CCOELC001,1,2029,0.001
RE1,CCOELC001,1,2030,0.001
RE1,CCOELC001,1,2031,0.001
RE1,CCOELC001,1,2032,0.001
RE1,CCOELC001,1,2033,0.001
RE1,CCOELC001,1,2034,0.001
RE1,CCOELC001,1,2035,0.001
RE1,CCOELC001,1,2036,0.001
RE1,CCOELC001,1,2037,0.001
RE1,CCOELC001,1,2038,0.001
RE1,CCOELC001,1,2039,0.001
RE1,CCOELC001,1,2040,0.001
RE1,CCOELC001,1,2041,0.001
RE1,CCOELC001,1,2042,0.001
RE1,CCOELC001,1,2043,0.001
RE1,CCOELC001,1,2044,0.001
RE1,CCOELC001,1,2045,0.001
RE1,CCOELC001,1,2046,0.001
RE1,CCOELC001,1,2047,0.001
RE1,CCOELC001,1,2048,0.001
RE1,CCOELC001,1,2049,0.001
RE1,CCOELC001,1,2050,0.001
RE1,CCOELC001,2,2019,9999.0
RE1,CCOELC001,2,2020,9999.0
RE1,CCOELC001,2,2021,9999.0
RE1,CCOELC001,2,2022,9999.0
RE1,CCOELC001,2,2023,9999.0
RE1,CCOELC001,2,2024,9999.0
RE1,CCOELC001,2,2025,9999.0
RE1,CCOELC001,2,2026,9999.0
RE1,CCOELC001,2,2027,9999.0
RE1,CCOELC001,2,2028,9999.0
RE1,CCOELC001,2,2029,9999.0
RE1,CCOELC001,2,2030,9999.0
RE1,CCOELC001,2,2031,9999.0
RE1,CCOELC001,2,2032,9999.0
RE1,CCOELC001,2,2033,9999.0
RE1,CCOELC001,2,2034,9999.0
RE1,CCOELC001,2,2035,9999.0
RE1,CCOELC001,2,2036,9999.0
RE1,CCOELC001,2,2037,9999.0
RE1,CCOELC001,2,2038,9999.0
RE1,CCOELC001,2,2039,9999.0
RE1,CCOELC001,2,2040,9999.0
RE1,CCOELC001,2,2041,9999.0
RE1,CCOELC001,2,2042,9999.0
RE1,CCOELC001,2,2043,9999.0
RE1,CCOELC001,2,2044,9999.0
RE1,CCOELC001,2,2045,9999.0
RE1,CCOELC001,2,2046,9999.0
RE1,CCOELC001,2,2047,9999.0
RE1,CCOELC001,2,2048,9999.0
RE1,CCOELC001,2,2049,9999.0
RE1,CCOELC001,2,2050,9999.0
RE1,EXPELC,1,2019,0.001
RE1,EXPELC,1,2020,0.001
RE1,EXPELC,1,2021,0.001
RE1,EXPELC,1,2022,0.001
RE1,EXPELC,1,2023,0.001
RE1,EXPELC,1,2024,0.001
RE1,EXPELC,1,2025,0.001
RE1,EXPELC,1,2026,0.001
RE1,EXPELC,1,2027,0.001
RE1,EXPELC,1,2028,0.001
RE1,EXPELC,1,2029,0.001
RE1,EXPELC,1,2030,0.001
RE1,EXPELC,1,2031,0.001
RE1,EXPELC,1,2032,0.001
RE1,EXPELC,1,2033,0.001
RE1,EXPELC,1,2034,0.001
RE1,EXPELC,1,2035,0.001
RE1,EXPELC,1,2036,0.001
RE1,EXPELC,1,2037,0.001
RE1,EXPELC,1,2038,0.001
RE1,EXPELC,1,2039,0.001
RE1,EXPELC,1,2040,0.001
RE1,EXPELC,1,2041,0.001
RE1,EXPELC,1,2042,0.001
RE1,EXPELC,1,2043,0.001
RE1,EXPELC,1,2044,0.001
RE1,EXPELC,1,2045,0.001
RE1,EXPELC,1,2046,0.001
RE1,EXPELC,1,2047,0.001
RE1,EXPELC,1,2048,0.001
RE1,EXPELC,1,2049,0.001
RE1,EXPELC,1,2050,0.001
RE1,EXPELC,2,2019,9999.0
RE1,EXPELC,2,2020,9999.0
RE1,EXPELC,2,2021,9999.0
RE1,EXPELC,2,2022,9999.0
RE1,EXPELC,2,2023,9999.0
RE1,EXPELC,2,2024,9999.0
RE1,EXPELC,2,2025,9999.0
RE1,EXPELC,2,2026,9999.0
RE1,EXPELC,2,2027,9999.0
RE1,EXPELC,2,2028,9999.0
RE1,EXPELC,2,2029,9999.0
RE1,EXPELC,2,2030,9999.0
RE1,EXPELC,2,2031,9999.0
RE1,EXPELC,2,2032,9999.0
RE1,EXPELC,2,2033,9999.0
RE1,EXPELC,2,2034,9999.0
RE1,EXPELC,2,2035,9999.0
RE1,EXPELC,2,2036,9999.0
RE1,EXPELC,2,2037,9999.0
RE1,EXPELC,2,2038,9999.0
RE1,EXPELC,2,2039,9999.0
RE1,EXPELC,2,2040,9999.0
RE1,EXPELC,2,2041,9999.0
RE1,EXPELC,2,2042,9999.0
RE1,EXPELC,2,2043,9999.0
RE1,EXPELC,2,2044,9999.0
RE1,EXPELC,2,2045,9999.0
RE1,EXPELC,2,2046,9999.0
RE1,EXPELC,2,2047,9999.0
RE1,EXPELC,2,2048,9999.0
RE1,EXPELC,2,2049,9999.0
RE1,EXPELC,2,2050,9999.0
RE1,FTEAGRDSL,1,2019,0.001
RE1,FTEAGRDSL,1,2020,0.001
RE1,FTEAGRDSL,1,2021,0.001
RE1,FTEAGRDSL,1,2022,0.001
RE1,FTEAGRDSL,1,2023,0.001
RE1,FTEAGRDSL,1,2024,0.001
RE1,FTEAGRDSL,1,2025,0.001
RE1,FTEAGRDSL,1,2026,0.001
RE1,FTEAGRDSL,1,2027,0.001
RE1,FTEAGRDSL,1,2028,0.001
